pkoakwood,oakwood_date
358,1869-11-03
359,1869-11-04
360,1869-11-04
361,1869-11-07
362,1869-11-14
363,1869-11-14
364,1869-11-15
365,1869-11-16
366,1869-11-16
367,1869-11-16
368,1869-11-18
369,1869-11-18
370,1869-11-19
371,1869-11-19
372,1869-11-20
373,1869-12-01
374,1869-12-25
375,1869-12-27
376,1869-12-27
377,1869-12-31
378,1870-01-02
379,1870-01-03
380,1870-01-05
381,1870-01-08
382,1870-01-20
383,1870-01-23
384,1870-01-23
385,1870-01-26
386,1870-01-27
387,1870-01-30
388,1870-02-02
389,1870-02-04
390,1870-02-05
391,1870-02-10
392,1870-02-11
393,1870-02-11
394,1870-02-11
395,1870-02-11
396,1870-02-11
397,1870-02-16
398,1870-02-19
399,1870-02-21
400,1870-02-21
401,1870-02-23
402,1870-02-25
403,1870-02-27
404,1870-02-28
405,1870-03-01
406,1870-03-03
407,1870-03-04
408,1870-03-08
409,1870-03-09
410,1870-03-10
411,1870-03-11
412,1870-03-14
413,1870-03-17
414,1870-03-18
415,1870-03-19
416,1870-03-22
417,1870-03-24
418,1870-03-26
419,1870-03-27
420,1870-03-27
421,1870-03-27
422,1870-03-27
423,1870-03-27
424,1870-03-27
425,1870-03-31
426,1870-04-01
427,1870-04-04
429,1870-04-04
430,1870-04-14
431,1870-04-19
432,1870-04-25
433,1870-04-27
434,1870-04-29
435,1870-04-30
436,1870-05-01
437,1870-05-02
438,1870-05-03
439,1870-05-04
440,1870-05-05
441,1870-05-07
442,1870-05-08
443,1870-05-08
444,1870-05-10
445,1870-05-11
446,1870-05-12
447,1870-05-12
448,1870-05-14
449,1870-05-15
450,1870-05-16
451,1870-05-17
452,1870-05-17
453,1870-05-18
454,1870-05-21
455,1870-05-25
456,1870-05-25
457,1870-05-26
458,1870-05-26
459,1870-05-26
460,1870-05-27
461,1870-05-27
462,1870-05-27
463,1870-05-27
464,1870-05-29
465,1870-05-29
466,1870-05-31
467,1870-06-01
468,1870-06-01
469,1870-06-01
470,1870-06-02
471,1870-06-04
472,1870-06-06
473,1870-06-08
474,1870-06-08
475,1870-06-13
476,1870-06-14
477,1870-06-14
478,1870-06-14
479,1870-06-19
480,1870-06-19
481,1870-06-20
482,1870-06-21
483,1870-06-21
484,1870-06-24
485,1870-06-26
486,1870-06-27
487,1870-06-28
488,1870-07-01
489,1870-07-02
490,1870-07-04
491,1870-07-10
492,1870-07-12
493,1870-07-12
494,1870-07-12
495,1870-07-16
496,1870-07-18
497,1870-07-19
498,1870-07-22
499,1870-07-22
500,1870-07-22
501,1870-07-23
502,1870-07-29
503,1870-07-31
504,1870-08-02
505,1870-08-05
506,1870-08-06
507,1870-08-08
508,1870-08-09
509,1870-08-09
510,1870-08-14
511,1870-08-15
512,1870-08-16
513,1870-08-17
514,1870-08-20
515,1870-08-23
516,1870-08-25
517,1870-08-28
518,1870-09-02
519,1870-09-04
520,1870-09-05
521,1870-09-05
522,1870-09-08
523,1870-09-08
524,1870-09-11
525,1870-09-14
526,1870-09-15
527,1870-09-17
528,1870-09-11
529,1870-09-16
530,1870-09-21
531,1870-09-18
532,1870-09-22
533,1870-09-23
534,1870-09-23
535,1870-09-24
536,1870-09-25
537,1870-10-01
538,1870-10-01
539,1870-10-02
540,1870-10-02
541,1870-10-06
542,1870-10-06
