pkoakwood,firstname
424,Child of Mr.
425,Child of Mrs. S. C.
426,Infant of Jim
427,child of Mr.
429,Infant of Mrs.
430,Mrs. M. W.
431,Matilda
432,Henry
433,N
434,Tom
435,Margaret
436,infant of Wm. Price
437,James W.
438,Eugene
439,John R.
440,Michael
441,child of Charles
442,Mrs. M. R.
443,child of
444,child of James H.
445,Matt.
446,Ellen
447,child
448,child of Max
449,Jim
450,Matt.
451,David
452,N
453,Otis (Child of)
454,Tennessee
455,Sophia
456,Henry
457,Peter
458,Elizabeth
459,Child of David
460,Child
461,N
462,Maj.
463,Maj.
464,George
465,Joseph
466,child of Mary
467,Andrew
468,N
469,N
470,David
471,Infant of Oscar
472,John H. Taylor
473,Infant  of B.
474,child of Jennie
475,Julius
476,Children of B.
477,Clement D.
478,Selma
479,Man
480,Mrs.
481,Mr. J.
482,Infant
483,George H.
484,John T.
485,Boy
486,Louisa P.
487,Richard
488,Child
489,Matilda
490,Mary
491,Joseph
492,N
493,John
494,William
495,Jesse
496,Infant
497,Infant
498,Rosenda
499,Henry
500,Child of Edward
501,Child of Clinton
502,Ellen
503,Child
504,Infant
505,William
506,Antonio
507,Infant of James
508,Frank
509,Dr. Joseph
510,Mrs.
511,Owen
512,Spencer
513,Infant
514,Infant
515,Abijah
516,Infant
517,Boy of W.
518,Sula Jane
519,Mrs.
520,Ann E.
521,Infant of
522,Clara
523,C. R.
524,Ellen
525,Mrs. F. W.
526,Infant
527,Louis
528,J.C.
529,Franklin
530,Man
531,Rigsby E.
532,Milton
533,J. E.
534,Infant of C.
535,James
536,Child
537,N
538,Creacy
539,Lavina
540,Emma
541,Robert A.
542,Miss J. M.
543,Martha
544,Julia Graham
545,Infant of Allen
546,N
547,Infant
548,Child of August
549,Jonas
550,Miss Ann
551,Mary
552,Infant of Edward
553,Infant negro
554,Fanny
555,Mexican child
556,Rosy Ann
557,Fanny R.
558,Corpse
559,Jack
560,Harriet
561,Henry
562,Mrs.
563,Miss Elizabeth
564,Infant of C.
565,Infant
566,James A.
567,Mexican boy
568,J. M.
569,James Allen
570,Jack
571,Miguel
572,Infant of Fanny
573,Mrs.
574,Nat C.
575,Miss
576,David
577,John
578,Thos.
579,Son of Rev.  Mr.
580,Infant of Douglas
581,John
582,Margaret
583,M.
584,Infant negro
585,Mexican infant
586,Twins of A.
587,Infant
588,Son of Mr.
589,Felix
590,Wm. T.
591,Infant of Green
592,S. B.
593,Wm. B.
594,Son of Shelby
595,Perry
596,Infant of Mrs.
597,Mary
598,Wm. A.
599,Infant of Emily
600,J. H.
601,Mrs. Emily
602,Elizabeth
603,Rebecca
604,Columbus
605,Colored child
606,Miss Augusta
607,Infant of George
608,Infant of Charly
609,Child of Mr. Sa
610,L. D.
611,James
612,Mancreseo
613,Pat
614,Mrs. S.
615,Blank
616,Mrs. Eveline
617,Lillie
618,Infant of Archer
619,Perry
620,John
621,Monroe
622,Mrs.
623,Emma
624,Thomas
625,Mrs. Lina
626,Mrs. E. M.
627,Martha A.
628,Infant of Dr. M. A.
629,Nanny M.
630,Infant of H. C.
631,Infant
632,Girl of Louisa
633,Eva A.
634,Infant of Arthur
635,Mexican boy
636,Mrs. F. E.
637,Mary
638,Infant of John
639,T. A.
640,Sarah A.
641,Dr.
642,Infant of Mr.
643,Infant of W.
644,Mrs. O. H.
645,Andy
646,James
647,Frank
648,Infant
649,J. N.
650,W. O.
651,Mrs. S. A.
652,Fanny
653,Emanuel
654,Ed.
655,William
656,Infant
657,J. H.
658,Infant
659,Malcomb
660,Woman
661,John W.
662,Clem
663,Infant of Mary
664,Thomas
665,Infant
666,Willie
667,Infant of Annie
668,Joseph
669,Jeremiah
670,Willis
671,Mexican boy
672,Negro boy
673,F. K.
674,Charles
675,Ygnacio
676,Infant of
677,Child
678,Marietta
679,Mrs. Sarah
680,James
681,N
682,Elisha
683,Willie
684,Jim
685,N
686,Mexican girl
687,Infant of Benj.
688,Agness
689,N
690,Mary
691,Bessie
692,Francis
693,John
694,Mrs. Abe
695,Lizzie
696,Valla
697,Colored child
698,Colored infant
699,Colored infant
700,Josiah
701,J. S.
702,Infant
703,Colored woman
704,Mexican child
705,Child of
706,Leonora
707,Frank
708,Augusta
709,Mexican child
710,Alfred J.
711,Infant of Alex.
712,Infant of Sam
713,Mrs. M. Lou
714,Infant of Robert C.
715,Infant of Young
716,Infant of Rufus
717,N
718,Mr.
719,J. M.
720,Infant of Capt.
721,Dolly M. H.
722,C. C.
723,Lee W.
724,Eliza
725,Sam
726,Frank
727,Willie
728,Riley
729,Borta H.
730,Beverly (infant)
731,John
732,Benjamin
733,Infant
734,Mary
735,Wm S.
736,Caroline
737,Colored man
738,Lidy
739,Infant
740,Meredith
741,Colored child
742,Alice
743,Infant of Thomas
744,Francis T.
745,William H.
746,N
747,Dr.
748,Wife of Ths.
749,M.
750,Junius
751,Infant of George
752,Catherine
753,William A.
754,Child of Thomas
755,Emma
756,Charles H.
757,Col. C. M.
758,John
759,Charles
760,Child of Bill
761,Ignacio
762,Caroline
763,Charlotte W.
764,Mrs. Caroline
765,Victorio
766,Infant
767,Willie H.
768,Mrs. Martha N.
769,Infant of Dan
770,Infant
771,James
772,N
773,Infant of Wm H.
774,Charles
775,James
776,Infant of Henry
777,Mrs. Mary J.
778,James
779,Phil
780,Not reported
781,Sam
782,Capt. M. H.
783,Otto R.
784,Edward C.
785,William
786,Child
787,J.
788,Mary
789,Louis
790,Infant of John
791,Infant of J. S.
792,Wm. S. R.
793,Father and Son
794,Cchild
795,Rev. H. Frank
796,Mrs. Anna
797,Mr.
798,Infant
799,Child of Mrs. Mary
800,Child of Moses
801,Robert
802,Nathan
803,Infant
804,N
805,John E.
806,children of Capt.
807,Father-in-law of Capt.
808,Infant of A.
809,Infant
810,Eugene O.
811,Infant of Mrs.
812,Wm. W.
813,Infant
814,Boy
815,Boy
816,N
817,Infant of Millican
818,Miss A.
819,Infant
820,M.
821,Miss Elleanor
822,James
823,Wesley
824,Joseph
825,Infant of Charles
826,Infant of Edward
827,H. C.
828,John
829,James
830,Frank
831,Infant of John
832,Infant of Wm
833,Anderson
834,John
835,Infant
836,Taylor
837,Boy
838,Amanda C.
839,J. M.
840,Jerry
841,Pauper
842,Edward
843,Infant of J. H.
844,Virginia
845,Mrs. Mary Jane
846,N
847,Infant of H. C.
848,W. E.
849,Child of Edward
850,Georgiana
851,Infant
852,Mexican woman
853,Infant of A. C.
854,Wm.  M.
855,Infant of Julius
856,Charles C.
857,Eliza
858,Infant
859,Martha
860,Infant
861,James
862,M. K.
863,Infant
864,Man
865,Infant of Jennie
866,Man
867,Sarah
868,Rev. J. J. F.
869,Eliza
870,Willie
871,Infant of Thomas
872,Infant of Josh
873,Matilda
874,James W.
875,Infant of Mr.
876,Peter
877,N
878,Infant of Dr.
879,Wm. M.
880,Infant
881,Infant of Almira
882,Caroline
883,Woman
884,Fanny
885,Robert H.
886,Infant of William
887,Matty
888,Infant
889,Infant of Wm.
890,Infant
891,Infant of Eliza
892,Mrs. M. A.
893,Child of Martha
894,John
895,James
896,N
897,Infant
898,Infant of Mrs.
899,Woman
900,Man
901,Frank
902,Hugh
903,William G.
904,Miss T. A.
905,Infant
906,Infant of Mrs.
907,Infant of Mrs.
908,Oscar W.
909,Woman
910,Martha Ann
911,Martha
912,F. E.
913,Woman
914,Hugh
915,Boy
916,Ida
917,Mrs. Pauline
918,Infant of M. H.
919,Mrs. M. N.
920,Mrs. Sarah
921,N
922,Lewis
923,Wm. Thompson
924,Harriet
925,Infant of John
926,William
927,Wm G. S.
928,James S.
929,Charles W.
930,J. B.
931,Maria
932,Samuel
933,Joseph E.
934,Man
935,Boy
936,Infant
937,John H.
938,J. S.
939,Fred
940,Man
941,Peter
942,Infant of Ben
943,Col. Thomas Wm.
944,John
945,Mrs. Alfred
946,Mr.
947,Timothy
