pkoakwood,firstname
3973,A.
3974,E. F.
3975,A.
3976,M. L.
3977,Minnie
3978,August
3979,Willie
3980,Cha. H.
3981,Geo.
3982,Olevia
3983,Infant of Allen
3984,Simon
3985,Infant of F.
3986,Infat of F.
3987,Infant of D.
3988,Amalie
3989,F. Ch.
3990,Elizabeth
3991,A. Bill
3992,August
3993,Emma
3994,Agnes
3995,Benjamin
3996,Ed. L.
3997,John R.
3998,Mary
3999,John
4000,Infant
4001,Catherine
4002,Ella
4003,Goe.  M.
4004,Infat of H.
4005,Judith W.
4006,Gov.
4007,Infant of Shep.
4008,H.
4009,H.
4010,Edward
4011,F. W.
4012,L. E.
4013,Mr. F
4014,Wm.
4015,G. F. [Judge George Fleming]
4016,Lucy
4017,Levy
4018,Infant of Judge
4019,Julius
4020,Wm.
4021,Andrew
4022,Mrs.
4023,Mary
4024,Child of H.
4025,J. D.
4026,Hanah
4027,John
4028,Mary E.
4029,Ed
4030,Mrs.
4031,Brunnett
4032,Walter
4033,Eliza
4034,C. A.
4035,B.
4036,Ch.
4037,Jacob
4038,Child of
4039,Infant of Mrs.
4040,Henry
4041,Jo. Hippolite
4042,S. A.
4043,L.
4044,R. E.
4045,Julia
4046,Infat of Mary
4047,Pink.
4048,A. J.
4049,John
4050,D. F.
4051,Peter
4052,Mathew
4053,A.
4054,Henry
4055,infant of N.
4056,N.
4057,Rube D.
4058,infant of
4059,Maudy
4060,L.
4061,A.
4062,Mary B.
4063,Cornelius
4064,Paul
4065,Miss M.
4066,Thomas
4067,Bob
4068,Evans B.
4069,infant of E.
4070,Fred
4071,Lilie
4072,Jacob
4073,E.
4074,Gus.
4075,Fred.
4076,infant of G.
4077,R.
4078,infant of M.
4079,Robert J.
4080,G. C.
4081,Martha
4082,Leo.
4083,Phi.
4084,J.
4085,Sarah
4086,infant of
4087,Blank
4088,infant of M.
4089,W.
4090,J. W.
4091,infant of Mel.
4092,Cha.
4093,Robert
4094,Jane
4095,John
4096,infant of
4097,infant of F.
4098,infant of L.
4099,James
4100,Lucretta
4101,H. O.
4102,H. A.
4103,E.
4104,Richard
4105,Blank
4106,Josepf
4107,E.
4108,Mathew
4109,Alfred
4110,Mrs.
4111,M. Jane
4112,F. W.
4113,infant of
4114,Mrs.
4115,J. A.
4116,Mannie
4117,infant of J.
4118,J. W.
4119,A.
4120,Andrew
4121,S. W.
4122,Samuel
4123,M.
4124,infant of
4125,D. F. N.
4126,Augusta
4127,infant of J. W.
4128,Sophia
4129,Vale
4130,S.
4131,Ella C.
4132,Lizzie Lee
4133,Amanda
4134,Moses
4135,Robert
4136,Blank
4137,Alexander
4138,R.
4139,E. L.
4140,Mute
4141,Blank
4142,George B.
4143,Duckie
4144,S. A.
4145,A. W.
4146,G. W.
4147,infant of
4148,A. J.
4149,Mr.
4150,infant of
4151,J.
4152,Mary
4153,Mrs.
4154,Mrs.
4155,Joe
4156,Lucy M.
4157,infant of W. D.
4158,S.
4159,Geo.
4160,Willie
4161,Calvin
4162,J. T.
4163,Ch.
4164,Malie
4165,Mrs.
4166,A. C.
4167,Thekla
4168,Thomas
4169,infant
4170,infant of Ed.
4171,C. L.
4172,Wm.
4173,Alice
4174,E. P.
4175,Flo.
4176,M. J.
4177,Dennis
4178,Albert
4179,Wm.
4180,Lewis
4181,P. G.
4182,A. J.
4183,S.
4184,P.
4185,Con. A. R.
4186,James
4187,infant of M.
4188,infant of J.
4189,J. W.
4190,infant of
4191,Dr.
4192,Lindy
4193,Mary
4194,Judge A.
4195,John
4196,J. W.
4197,Sarah
4198,Wm.
4199,Malcolm
4200,Ben
4201,Elizabeth
4202,Dow
4203,Lue
4204,Dimand
4205,Juanlupe
4206,infant of A.
4207,Mellie
4208,Eva
4209,Andrew
4210,Rob.
4211,Lenore
4212,John
4213,Ross O.
4214,L.
4215,Mrs.
4216,infant of C.
4217,Constance
4218,infant of M.
4219,infant of John
4220,infant of
4221,infant of J.
4222,Mrs.
4223,Dan
4224,W.
4225,L.
4226,infant of J.
4227,Anna
4228,H. H.
4229,Thos.
4230,Mary
4231,infant of R.
4232,Blank
4233,Andreas
4234,Blank
4235,S.
4236,Alace
4237,Geo.
4238,Geo.
4239,infant of
4240,Blank
4241,infant of Mrs.
4242,Maud
4243,Ernst
4244,Leo.
4245,Betty
4246,Mike
4247,W. E.
4248,J. A.
4249,infant of E. A.
4250,Eliza
4251,O.
4252,Henry
4253,T. W.
4254,Blank
4255,Capt. L. E.
4256,Geo.
4257,Carl
4258,infant of Mrs.
4259,C. B.
4260,S. C.
4261,Chas.
4262,G. D.
4263,Eliza
4264,Hanah
4265,Wm.
4266,infant of Kenna
4267,Ellen
4268,infant of J. B.
4269,R. D.
4270,Wm.
4271,Capt. J. C.
4272,Levy
4273,John
4274,Geo.
4275,Wm.
4276,R. S.
4277,E. M.
4278,C.
4279,Willie
4280,D.
4281,Dora
4282,infant of Mr.
4283,Henry
4284,A.
4285,H. B.
4286,Jacob
4287,John
4288,Ch.
4289,M. A. E.
4290,U. M.
4291,G. J.
4292,Mrs.
4293,Mary
4294,Tom
4295,Ch.
4296,D. W.
4297,M. L.
4298,Blank
4299,J.
4300,Mrs.
4301,Almer
4302,Mary
4303,Johan
4304,infant of Fanny
4305,B. J.
4306,Thomton
4307,Mattie
4308,child of J.
4309,Isac
4310,Jno.
4311,G.
4312,Christ.
4313,Wm.
4314,Minerva
4315,J. A.
4316,Mrs. F.
4317,Mrs.
4318,Mary
4319,Sally
4320,Jno. Nesbet
4321,Cany
4322,James M.
4323,infant of Wm.
4324,Lucinda
4325,Lilly
4326,Lina
4327,infant of W. K.
4328,Milton
4329,infant of Mrs.
4330,Martha
4331,Sarah
4332,Wade
4333,Ella
4334,Emma
4335,infant of G.
4336,infant of
4337,R.
4338,R. C.
4339,Emma
4340,Blank
4341,infant of
4342,infant of D. W.
4343,Peyton
4344,J. S.
4345,Athur
4346,Susan
4347,J. M.
4348,Hellone
4349,Mrs
4350,Cha.
4351,Virginia
4352,J.
4353,A.
4354,infant of J.
4355,E. M.
4356,John
4357,Cha. A.
4358,O.
4359,Dr.
4360,Blank
4361,W.
4362,infant of W.
4363,P.
4364,M. R.
4365,Cidis
4366,infant of Mr.
4367,C. C.
4368,Minnie
4369,Laura
4370,Estella
4371,P. W.
4372,J.
4373,infant of
4374,Emma
4375,infant of N.
4376,infant of W.
4377,infant of
4378,infant of B.
4379,infant of Ch.
4380,Blank
4381,Tho.
4382,L.
4383,August
4384,T. J.
4385,Alma
4386,E.
4387,H. H.
4388,John
4389,R. W.
4390,P. M.
4391,Ed.
4392,F.
4393,Sue
4394,M.
4395,infant of
4396,Dan
4397,Annie
4398,Sam
4399,J.
4400,Blank
4401,K.
4402,Mary
4403,R.
4404,Geo.
4405,M. P.
4406,Grooms
4407,W.
4408,Capt.
4409,Robert
4410,Ada
4411,Mary
4412,Albert
4413,Angeline
4414,child of Thomas
4415,Jack
4416,O. C.
4417,Maggie
4418,infant of
4419,infant of
4420,Mose
4421,Jesse
4422,J. A.
4423,F. A.
4424,infant of R.
4425,F.
4426,Blank
4427,Ephram
4428,Collette
4429,R.
4430,E.
4431,Ella
4432,infant of S. E.
4433,M.
4434,Hester
4435,Wm.
4436,Max T.
4437,A.
4438,F.
4439,Adolph
4440,J. W.
4441,Walter
4442,Ben
4443,Francis
4444,Wa
4445,H.
4446,Mary
4447,Hilda
4448,John
4449,Georg
4450,Lula
4451,Lula
4452,Andeline
4453,Isaac
4454,infant of
4455,Jack
4456,B.
4457,Walter
4458,Charley
4459,S. E.
4460,infant of R. W.
4461,M. E.
4462,Emma
4463,Anna
4464,Catharine
4465,Therese
4466,C. J.
4467,Frank
4468,Lula
4469,Julia
4470,Wm.
4471,Annie
4472,Major
4473,E. A.
4474,Walter
4475,M. H.
4476,Grangon
4477,Eliza
4478,Jack
4479,C.
4480,Mabry
4481,Grave
4482,Mollie
4483,Tho. Ella
4484,Joseph
4485,George
4486,Cy.
4487,Dr. T. A.
4488,infant of Geo. F.
4489,infant of
4490,infant of
4491,James D.
4492,infant of
4493,Li
4494,A. E.
4495,Mrs.
4496,Chaley
4497,John F.
4498,infant of
4499,Lilli
4500,R.
4501,infant of Mr.
4502,infant of
4503,Blank
4504,Elhart
4505,Mary
4506,John J.
4507,M. P.
4508,John
4509,Tho. H.
4510,Tom
4511,H. P.
4512,Mrs.
4513,Mrs.
4514,B. B.
4515,W. H.
4516,Fanny
4517,J.
4518,M. J.
4519,George W.
4520,Frank
4521,Mary
4522,B. P.
4523,Paul
4524,D.
4525,Blank
4526,Wm.
4527,Blank
4528,Blank
4529,Mary
4530,M.
4531,T. B.
4532,G. M.
4533,Jno.
4534,Mollie
4535,F. G.
4536,John
4537,infant of R. S.
4538,infant of
4539,infant of Berry
4540,Jessy
4541,infant of
4542,Dill
4543,Mary
4544,S. L.
4545,F.
4546,S.
4547,Morris
4548,Genl. Wm.
4549,B.
4550,Howard
4551,M.
4552,R.
4553,J.
4554,Clint
4555,E.
4556,Lucy
4557,R. R.
4558,infant of J. H.
4559,Blank (Elizabeth)
4560,M.
4561,infant of
4562,T. J.
4563,Willie
4564,infant of A.
4565,Bell B.
4566,Sallie
4567,Jamis
4568,Mary
4569,Ed.
4570,F. R.
4571,infant of O.
4572,Goe.
4573,A.
4574,J.
4575,Julius
4576,infant of Fannie
4577,Auguste
4578,
4579,B. B.
4580,Fritz
4581,F. H.
4582,Emma
4583,Booker
4584,infant of Willie
4585,Millie
4586,R. W.
4587,Fredrica
4588,John
4589,Lucia A.
4590,L. A. Dealla
4591,Mrs.
4592,A.
4593,Ellin
4594,G.
4595,Blank
4596,A. B.
4597,Henriette
4598,Cha.
4599,Susan
4600,Dee
4601,infant of Mattie
4602,L.
4603,Mrs.
4604,Lora
4605,Mollie
4606,Blank
4607,Sallie
4608,John
4609,Ed. S.
4610,infant of J.
4611,R. J.
4612,De
4613,Blank
4614,R. T.
4615,Robert
4616,Fannie
4617,Roda
4618,R.
4619,Ed.
4620,Hattie
4621,A. H.
4622,A. D.
4623,Tho.
4624,S. or Th.
4625,C.
4626,M. A.
4627,Thomas
4628,M.
4629,R.
4630,Blank
4631,James
4632,child of N.
4633,M. Jane
4634,M.
4635,Sophia
4636,Tommie
4637,John
4638,A. M.
4639,Eliza
4640,Mary Jean
4641,Willie
4642,M. J.
4643,Willie
4644,Infant of W. H.
4645,Helene
4646,James
4647,Geo P.
4648,Blank
4649,C.
4650,Annie
4651,Benty
4652,U. (A.)
4653,Infant of R.
4654,Irina
4655,U. (A.)
4656,Henry
4657,Inoses
4658,Rebecca
4659,Amanda
4660,Blank
4661,Pope
4662,John
4663,Rose
4664,Joe
4665,M.
4666,Eddie
4667,Joseph
4668,H. J.
4669,W. H.
4670,Martha
4671,Jerry
4672,L. B.
4673,Jane
4674,M. E.
4675,Paul
4676,Bismark
4677,Esperina
4678,A. C.
4679,Sarah
4680,two children of
4681,Blank
4682,Martin
4683,Matilda
4684,Amanda
4685,no name child
4686,(Frederick)
4687,Geo. H.
4688,Wm.
4689,Blank
4690,L.
4691,Gertrude
4692,Cayetaha
4693,Blank
4694,Red
4695,Routh C.
4696,Gusta
4697,M.
4698,Child of
4699,Blank
4700,Max
4701,Joseph
4702,Infant of C.
4703,Maggie M.
4704,L.
4705,B. L.
4706,Frank
4707,C. A.
4708,Blank
4709,Thomas
4710,Jas.
4711,Char.
4712,Martha
4713,Wm.
4714,Jo.
4715,Blank
4716,Jesus
4717,S. M.
4718,Martha
4719,Thomas
4720,Blank
4721,infant of Bertha
4722,Geo.
4723,Ferdinand
4724,Henry
4725,infant of
4726,infant of E.
4727,Blank
4728,Franis
4729,Z. H.
4730,John
4731,Ben
4732,H. J.
4733,Wm.
4734,Alfred
4735,James A.
4736,Peter
4737,infant of
4738,G. O.
4739,Mary
4740,John
4741,Fred
4742,August
4743,Ellen
4744,Blank
4745,Millie
4746,Jennie
4747,Peter
4748,Lucinda
4749,Chany
4750,Mrs.
4751,Walter
4752,Lucinda
4753,George
4754,G. V.
4755,Jacob
4756,infant of
4757,infant of
4758,Henry
4759,F.
4760,Emely
4761,Flora
4762,infant of D. G.
4763,Cornelia
4764,D.
4765,Wm.
4766,Ka.
4767,A. Kitty
4768,Mary
4769,John R.
4770,Esau
4771,M. J.
4772,Goldfred
4773,O. G.
4774,E.
4775,Mollie E.
4776,infant of Wm.
4777,infant of S.
4778,Hamel
4779,George
4780,Georgia
4781,infant of
4782,infant of
4783,Sim R.
4784,Dr. John T. J.
4785,Andrew
4786,Con. R. O. W.
4787,Lizzie
4788,C. W.
4789,Stella
4790,Mrs.
4791,infant of
4792,A.
4793,Jessie
4794,Nancy
4795,Saml. H.
4796,Jeff
4797,E.
4798,Judge M. A.
4799,Jacob
4800,V. A.
4801,M.
4802,Rec. E.
4803,Grace
4804,O.
4805,Wm.
4806,Blank
4807,J.
4808,S. V.
4809,S. C.
4810,infant of E. L.
4811,infant of C.
4812,infant of H.
4813,Wm.
4814,Elizabeth
4815,E. T.
4816,Ph.
4817,Cha.
4818,Blank
4819,Joseph
4820,Betty
4821,S. J.
4822,Della
4823,W. R.
4824,Ella
4825,infant of J. M.
4826,Elise
4827,Mrs.
4828,A.
4829,infant of M.
4830,W. H.
4831,infant of Eddie
4832,P. L.
4833,W. Ella
4834,M. E.
4835,L.
4836,J. B.
4837,C. S.
4838,H.
4839,G. U.
4840,F. W.
4841,Blank
4842,Mrs.
4843,W.
4844,S. P.
4845,Lilly
4846,Baylor
4847,Tempy
4848,Ida
4849,C. C.
4850,Wm.
4851,Wm.
4852,infant of W.
4853,Henriette
4854,Anna
4855,Cha.
4856,S. C.
4857,C. C.
4858,Ch. S.
4859,F. E.
4860,Alice
4861,Amanda
4862,Wm.
4863,K. H.
4864,W. D.
4865,F. W.
4866,John
4867,infant of John Wa
4868,infant of Juan
4869,H.
4870,Blank
4871,Antonio
4872,Blank
4873,Mr. & Mrs.
4874,Alice
4875,Wm. K.
4876,Wm. B.
4877,Blank
4878,L. A.
4879,E. S.
4880,B. O.
4881,Cad
4882,Mr.
4883,B. A. C.
4884,Jno.
4885,Charles
4886,Wm.
4887,M.
4888,Mr.
4889,Charles
4890,J. T.
4891,infant of
4892,Maud
4893,infant of H.
4894,J. M.
4895,W. H.
4896,L. A.
4897,infant of J.
4898,infant of Mr.
4899,T. J.
4900,Robert
4901,Mrs.
4902,J.
4903,infant of
4904,infant of
4905,child of Mr.
4906,Tom
4907,Lizzie
4908,Luly
4909,Andrew
4910,child
4911,S. C.
4912,infant of Ada
4913,Mary Ann
4914,child
4915,Perry Z.
4916,Wash
4917,infant of Mrs.
4918,infant of Emma
4919,infant of Mrs.
4920,Frank
4921,M.
4922,Frank
4923,Willie
4924,Mary A.
4925,W. A.
4926,Birdie
4927,Con. Ashbel
4928,Flood
4929,J. E.
4930,Willie
4931,infant twins of
4932,Nanze W.
4933,A. W.
4934,Mrs.
4935,C. C.
4936,Willie
4937,C.
4938,Sophie
4939,Infant of A.
4940,Katie
4941,S.
4942,Lucinda
4943,Ella Carter
4944,Nathan
4945,Infant
4946,G.
4947,M. L.
4948,Ann
4949,U. J.
4950,J.
4951,Sallie
4952,Susan
4953,Frank C.
4954,Infant
4955,Rose
4956,Alfred
4957,Chester P.
4958,A. H.
4959,Infant
4960,Infant
4961,Bessie
4962,Laura
4963,Henriette
4964,Henry
4965,Lizzie
4966,Infant of J.
4967,Mrs.
4968,Louise
4969,Infant
4970,Paul
4971,Rosett
4972,Chas
4973,Frank
4974,Steven
4975,Harriet
4976,Child of Mrs.
4977,K. Norton
4978,Child
4979,Waller
4980,Easton
4981,F. R.
4982,Acension
4983,Nanny
4984,Child of Henry
4985,William
4986,Richard
4987,Bettie
4988,Trinidatt (Trinidad)
4989,S.
4990,Silas
4991,C. W.
4992,D.
4993,Nels A.
4994,Walter
4995,Louise Maria
4996,Mrs.
4997,C. C.
4998,Mattie
4999,Jenny
5000,Gregor
5001,Christine
5002,Infant
5003,W. J.
5004,A. H.
5005,M. W.
5006,J.
5007,Jackson
5008,Child
5009,George
5010,Arthur
5011,M. R.
5012,Abraham
5013,Child
5014,C. E.
5015,Louisa
5016,W. R.
5017,Eva
5018,Elizabeth
5019,Mallie
5020,S.
5021,S.
5022,Medora
5023,Child of Mr.
5024,Coney
5025,H. E.
5026,Nancy
5027,Horvie
5028,A. S.
5029,Mary L.
5030,Sarah
5031,Mary Jane
5032,N
5033,son of Mr. & Mrs.
5034,Pinkie
5035,Emma
5036,Ch. M.
5037,Julius
5038,Mac
5039,Robbie
5040,William
5041,M. T.
5042,
5043,A. H.
5044,Mike O.
5045,A. N.
5046,Willie G.
5047,M..
5048,Herman
5049,Lilly
5050,R. Franklin
5051,Infant
5052,
5053,E.
5054,Sylon
5055,D. Carter
5056,C. Edwin
5057,Ann
5058,Infant
5059,Henry
5060,Mr.
5061,Lizzie
5062,F. J.
5063,Alfred
5064,R. K.
5065,Billy
5066,C.
5067,A.
5068,
5069,Blank
5070,Mary
5071,Thomas
5072,Mary
5073,L.
5074,Robert
5075,Child
5076,Dilsey
5077,John
5078,Cha. E.
5079,Emil
5080,Infant
5081,Alice
5082,Infant
5083,Delia
5084,Almira
5085,Fred
5086,Harris
5087,Alzona
5088,C. E.
5089,Dora
5090,J. W.
5091,Sand
5092,Eulojul
5093,Infant
5094,Ben
5095,Cha.
5096,Defina
5097,Lothie
5098,Infant of M.
5099,M.
5100,Carl
5101,Nanzy
5102,Peter John
5103,Hilda
5104,David L.
5105,Mrs.
5106,H. L.
5107,Name not known
5108,Silvia
5109,Johnnie
5110,Samuel
5111,Gus.
5112,Mrs.
5113,Mrs.
5114,Child
5115,Dora
5116,Chaterine
5117,No Name
5118,Ed
5119,A.
5120,Mattie
5121,Vyna
5122,Patrick
5123,Dr. W. J.
5124,Margarete
5125,Lilly
5126,J.
5127,R. W.
5128,George
5129,Infant
5130,M. Ann
5131,W. A.
5132,Geo.
5133,Bula
5134,Mrs. E.
5135,R. E.
5136,Thomas
5137,Infant of M.
5138,A. R.
5139,Frank
5140,Joh
5141,Wade
5142,Infant of A.
5143,M.
5144,Infant of H.
5145,Katy
5146,M. C.
5147,Willie
5148,John
5149,Ada
5150,Addie
5151,Leman (Lehman)
5152,Mary
5153,Infant of J. C.
5154,Infant of S.
5155,Child
5156,P.
5157,Tom
5158,A. G.
5159,Adline
5160,C. R.
5161,Pillow
5162,David
5163,Infant
5164,Joe
5165,Lilac
5166,Wm
5167,Prof.
5168,Wm
5169,L. R.
5170,Infant of R.
5171,Infant of Joe
5172,Elenor
5173,Viola
5174,Henriette
5175,Julia
5176,Essnes
5177,Infant of Bartolo
5178,Cha. King
5179,A.
5180,Infant
5181,Minnie
5182,Mary
5183,Christine
5184,Hannah
5185,Infant of John
5186,W. B.
5187,Infant of N. N.
5188,Albert
5189,M.
5190,Infant of D.
5191,J. J.
5192,L.
5193,Henry
5194,Matt.
5195,Johanne
5196,Infant of W. H.
5197,Ed.
5198,Remains of Sam
5199,Wm.
5200,Hermanny
5201,A. H.
5202,Johanne
5203,Fannie
5204,A. J.
5205,L.
5206,Infant of John
5207,Robt.
5208,Alley
5209,M
5210,E. J.
5211,Infant of J. A.
5212,Infant of
5213,Mrs.
5214,Donna
5215,Sophie
5216,C. C.
5217,G. A.
5218,Ella
5219,Infant of C.
5220,Infant of Albert
5221,Infant of
5222,Tom
5223,Thomas
5224,Mrs.
5225,Infant of Carie
5226,Adolph
5227,Warner
5228,Carl
5229,Henry
5230,Andren O.
5231,Blank
5232,J.
5233,Blank
5234,C. P.
5235,Infant of H.
5236,C.
5237,Infant of M.
5238,B
5239,Infant of V. O.
5240,Infant of Jo.
5241,L.
5242,Infant of C. E.
5243,Judge W. L.
5244,Fannie
5245,Infant of J.
5246,Sis
5247,Isreal
5248,George
5249,Samuel
5250,Stella
5251,Rubin
5252,A. J.
5253,Alexander
5254,Gracy
5255,J.
5256,Mary N.
5257,Lina
5258,Malinda
5259,Sallie B.
5260,August
5261,Jim
5262,Caroline
5263,Matilda
5264,Margaret
5265,Mary
5266,John W.
5267,Arthur Leland
5268,Mary
5269,Harriet
5270,Clara
5271,Leon B.
5272,Richard
5273,Namessi
5274,A. S.
5275,Dr. J. T.
5276,E. L.
5277,Louis
5278,Pauline
5279,Peter
5280,Robt. S.
5281,Joe
5282,Mr. & Mrs.
5283,Josephine
5284,child of Mr. & Mrs.
5285,Rev.
5286,Mignon
5287,Henry
5288,infant of W.
5289,infant of S.
5290,Mary W.
5291,R.
5292,Emma
5293,child
5294,child of Mr. & Mrs.
5295,infant of J.
5296,Blank
5297,Therese
5298,Annie
5299,Olive
5300,A.
5301,Clarisa S.
5302,Infant of
5303,infant of
5304,Westly
5305,M.
5306,R. A.
5307,S. H.
5308,C.
5309,infant of
5310,Capt. M. H.
5311,Wm. R.
5312,L.
5313,Joa.
5314,M.
5315,R.
5316,Cha.
5317,Ophelia
5318,infant of
5319,infant of L.
5320,infant of H. P.
5321,H.
5322,N.
5323,Bella
5324,Tobe
5325,infant of
5326,child of Mr.
5327,Mike
5328,M. S.
5329,infant of H. L.
5330,Malinda
5331,infant of Mattie
5332,B.
5333,Harris J.
5334,Geo.
5335,infant of Mrs.
5336,child of Mr.
5337,Carow
5338,M.
5339,Saml.
5340,Sarah
5341,Adele
5342,Gasemro
5343,Winfield
5344,Jenni
5345,infant of J.
5346,infant
5347,J. V.
5348,Alexander
5349,Fannie
5350,James
5351,Mr.
5352,Miss Dot
5353,Mary J.
5354,John
5355,Mary
5356,F. H.
5357,infant of
5358,Lilly
5359,infant of W.
5360,George
5361,infant of A.
5362,B.
5363,Frank A.
5364,Jane Wallie
5365,Wepin
5366,Kitty Vance
5367,infant of L.
5368,W. H. D.
5369,Edward
5370,J.
5371,Cassemide
5372,J.
5373,infant of
5374,Blank
5375,John T.
5376,W. B.
5377,Geo.
5378,Geo. E.
5379,Blank
5380,Mrs.
5381,Wm.
5382,John
5383,Michael
5384,Blank
5385,K.
5386,Mazie
5387,Robert
5388,Emma
5389,Clara
5390,Lilly
5391,infant of
5392,Blank
5393,Emmery
5394,Batrin
5395,Patune
5396,Mary E.
5397,Ann
5398,Jane
5399,Tho. H.
5400,George
5401,C. H.
5402,Hugo
5403,Blank
5404,Christiane
5405,Thomas
5406,Mary
5407,Cha. J.
5408,infant of Mrs.
5409,Alice J.
5410,Cha.
5411,J.
5412,Blank
5413,Robert
5414,Bertha
5415,Sema
5416,Bertha
5417,N. O.
5418,Clara
5419,Infant of J.
5420,D. C.
5421,Infant of P.
5422,R. H. L.
5423,James P.
5424,
5425,
5426,Unknown child
5427,Infant
5428,W. S.
5429,Jese
5430,E.
5431,Lizzie
5432,Leopold
5433,J.
5434,Ch. Wilhelmine
5435,Infant of A.
5436,Mrs.
5437,Infant
5438,Frank
5439,Mauv
5440,Mary
5441,Lilly
5442,Wm. C.
5443,Blank
5444,George
5445,Mary Allen
5446,Edna
5447,J.
5448,
5449,Frida
5450,Wesley
5451,Pauline
5452,Infant of J. M.
5453,C. G.
5454,Charles A.
5455,Wm.
5456,Infant of J. D.
5457,Infant of J.
5458,Walther
5459,Carl
5460,Mary
5461,Infant of J.
5462,Infant
5463,Mary
5464,Annie
5465,Mray
5466,Lucindy
5467,Infant of B.
5468,L.
5469,Rose
5470,Infant of Ed
5471,F.
5472,Annie
5473,J. T.
5474,Joseph
5475,infant of Jos.
5476,Elizabeth
5477,Infant
5478,B.
5479,S. A.
5480,Frank
5481,Herriette
5482,William
5483,O.
5484,Lucy H.
5485,Gertrude
5486,Fil
5487,Ed
5488,Josie Estella
5489,Caroline
5490,J.
5491,Alexander
5492,no name Child
5493,Infant of J. E.
5494,Thomas
5495,Anderson
5496,Infant of Mrs.
5497,Infant of Jenny
5498,James
5499,Augusta
5500,James
5501,Sadie
5502,Child
5503,Infant of Elisa
5504,W. F.
5505,Samuel D.
5506,Nora S. K.
5507,Anna
5508,Infant of C. L.
5509,Eugen F.
5510,Golden
5511,Eliza
5512,P. J.
5513,George
5514,Missie
5515,Infant
5516,Geo.
5517,Ch. W
5518,William
5519,J. M.
5520,L.
5521,Edward
5522,W. B.
5523,Helena
5524,Infant of Josie
5525,Infant
5526,Robert O.
5527,W. A.
5528,Hugh
5529,B.
5530,Infant
5531,Woodley
5532,M. D.
5533,L.
5534,W. T.
5535,R. S.
5536,
5537,infant twins of L.
5538,infant of H.
5539,D. J.
5540,L. M.
5541,S.
5542,S.
5543,M.
5544,A.
5545,Infant of M.
5546,A.
5547,F. D.
5548,M. H.
5549,Infant
5550,S. E.
5551,Lucy
5552,G.
5553,Moses
5554,C. F.
5555,Infant of M.
5556,Albert
5557,Hugh
5558,Infant of L.
5559,Morris B.Blank
5560,Alice
5561,Sophie
5562,Hallie
5563,Lucian
5564,Infant of A. E.
5565,Mary
5566,Kitty
5567,R.
5568,Lula
5569,Nancy
5570,A.
5571,Edie
5572,Infant
5573,Cha.
5574,Infant of
5575,Infat
5576,M. L.
5577,E. M.
5578,S.
5579,Fannie
5580,Infant A.
5581,F. McBride
5582,Infant of R. S.
5583,Fanie
5584,M. A.
5585,L.
5586,F.
5587,Cha. C.
5588,Henry
5589,Mr.
5590,Grant
5591,Chas. G.
5592,Rosana
5593,Mrs.
5594,Walter
5595,H. H.
5596,Allie
5597,Mag.
5598,J. W.
5599,infant of
5600,Florence
5601,Henriette
5602,Mrs.
5603,Thos.
5604,Wm.
5605,Wm.
5606,C. A.
5607,J.
5608,Rubis
5609,Mrs.
5610,E.
5611,Henry
5612,Mrs. Mary
5613,Pipaniq
5614,C.
5615,Fritz
5616,Joseph
5617,John
5618,Edwin
5619,Mrs. Emma
5620,W. C.
5621,H. W.
5622,Fayett
5623,infant of F. M.
5624,Mrs.
5625,Mrs. Seth
5626,Elizabeth
5627,Mrs. C. B.
5628,Laurie
5629,child of Mr. S.
5630,Alice
5631,William
5632,infant of
5633,John T.
5634,J. P.
5635,Georgia
5636,infant of Alex
5637,Julia
5638,A. S.
5639,Sam
5640,child of Joseph A.
5641,Miss Jennie
5642,Infant of Mrs.
5643,J. P.
5644,F. B.
5645,Mrs.
5646,George W.
5647,Sallie
5648,Henry
5649,Lucy
5650,Victor
5651,Minerva
5652,Dr. J. T.
5653,O. F.
5654,Wilson
5655,Abrano
5656,infant of
5657,Mary
5658,James A.
5659,infant of H. F.
5660,Mrs. Jane
5661,James
5662,Effae
5663,W. J.
5664,Thos.
5665,A.
5666,Mrs.
5667,Rufus
5668,Tom
5669,Mrs.
5670,Wm.
5671,Sarah
5672,Mr.
5673,Maxey
5674,Dovey
5675,Blank
5676,infant of Alford
5677,C. L.
5678,N. O.
5679,Popy
5680,Lulu Marshall
5681,Phebe
5682,Mary
5683,E. S.
5684,Gordon Iglehart
5685,Nicia
5686,[??]
5687,Charlott O.
5688,Annie Eliza
5689,Blank
5690,Mrs. Freda
5691,Ben
5692,infant of
5693,Mr. G.
5694,Ed
5695,N. N.
5696,infant of G. D.
5697,Heraldo
5698,John
5699,Dr. J. A.
5700,James Allen
5701,Caroline
5702,Mary Lee O.
5703,Louisa A.
5704,C. W. or C. N.
5705,Annie
5706,infant of Mary
5707,infant of
5708,Lelvy
5709,Carrie
5710,Capt. Jno.
5711,infant of H. D.
5712,Annie
5713,Madison
5714,infant of J.
5715,infant of A.
5716,Bettsie
5717,infant of Adolph
5718,Evan P.
5719,infant of Mr.
5720,Miss Castin
5721,infant of W. S.
5722,Amelia
5723,Emma
5724,Mrs. Sopha F.
5725,infant of Alex.
5726,Joe
5727,infant of Mrs.
5728,Martin
5729,August
5730,Max
5731,W. L.
5732,R. J.
5733,infant of Mary
5734,Geo. W.
5735,W. C.
5736,James
5737,Henry
5738,Albert Edward
5739,Infant
5740,Child of Dr.
