pkoakwood,yearsmonthsdays
3213,000-00-00
3214,004-00-00
3215,
3216,000-00-00
3217,000-10-00
3218,000-06-00
3219,020-00-00
3220,001-10-00
3221,004-00-00
3222,000-00-06
3223,000-11-00
3224,000-00-07
3225,000-00-06
3226,001-00-00
3227,049-00-00
3228,Blank
3229,000-00-00
3230,041-00-00
3231,080-00-00
3232,058-00-00
3233,001-00-00
3234,051-00-00
3235,006-00-00
3236,000-00-08
3237,003-09-00
3238,000-08-20
3239,001-00-00
3240,000-06-00
3241,050-00-00
3242,003-11-00
3243,001-01-00
3244,045-00-00
3245,000-03-00
3246,006-07-00
3247,072-00-00
3248,022-00-00
3249,073-03-00
3250,030-00-00
3251,000-05-00
3252,002-08-00
3253,017-00-00
3254,001-08-00
3255,000-00-00
3256,Blank
3257,000-01-14
3258,000-03-00
3259,000-10-00
3260,040-00-00
3261,030-00-00
3262,045-00-00
3263,000-03-00
3264,001-01-00
3265,Blank
3266,000-11-00
3267,003-00-00
3268,001-03-00
3269,028-00-00
3270,000-04-14
3271,001-00-00
3272,000-06-00
3273,001-03-00
3274,000-06-00
3275,034-00-00
3276,042-00-00
3277,001-06-00
3278,000-00-09
3279,002-00-00
3280,000-00-00
3281,000-11-00
3282,024-00-00
3283,035-00-00
3284,030-00-00
3285,Blank
3286,001-00-00
3287,Blank
3288,000-08-00
3289,035-00-00
3290,066-00-00
3291,002-06-00
3292,000-01-14
3293,Blank
3294,001-06-00
3295,034-00-00
3296,037-00-00
3297,049-00-00
3298,002-00-00
3299,001-00-00
3300,005-00-00
3301,000-06-00
3302,Blank
3303,065-00-00
3304,Blank
3305,019-00-00
3306,001-00-00
3307,000-01-14
3308,Blank
3309,025-00-00
3310,000-00-03
3311,000-05-00
3312,000-07-00
3313,038-00-00
3314,000-03-00
3315,001-00-00
3316,000-00-00
3317,002-08-00
3318,034-00-00
3319,080-00-00
3320,000-00-00
3321,000-00-00
3322,003-00-00
3323,036-00-00
3324,003-00-00
3325,032-00-00
3326,000-05-00
3327,063-00-00
3328,000-00-00
3329,
3330,056-00-00
3331,000-04-00
3332,056-00-00
3333,018-00-00
3334,000-00-00
3335,000-09-00
3336,003-00-00
3337,001-00-00
3338,080-00-00
3339,070-00-00
3340,000-05-00
3341,031-00-00
3342,000-04-00
3343,000-08-00
3344,000-00-02
3345,039-00-00
3346,000-04-00
3347,080-00-00
3348,001-06-00
3349,075-00-00
3350,065-00-00
3351,000-00-00
3352,011-00-00
3353,001-09-00
3354,000-11-00
3355,077-00-00
3356,021-00-00
3357,001-05-00
3358,002-00-00
3359,010-00-00
3360,067-00-00
3361,075-00-00
3362,007-00-00
3363,003-00-00
3364,000-05-00
3365,034-00-00
3366,025-00-00
3367,Blank
3368,050-00-00
3369,
3370,000-01-00
3371,Blank
3372,024-00-00
3373,000-01-00
3374,000-05-00
3375,050-00-00
3376,000-01-00
3377,000-00-01
3378,006-00-00
3379,000-10-00
3380,034-00-00
3381,001-03-00
3382,000-09-00
3383,022-03-00
3384,Blank
3385,Blank
3386,Blank
3387,002-00-00
3388,035-00-00
3389,000-03-15
3390,000-00-08
3391,020-00-00
3392,045-00-00
3393,021-00-00
3394,001-06-00
3395,000-05-00
3396,Blank
3397,000-05-00
3398,030-00-00
3399,026-00-00
3400,001-00-00
3401,010-00-00
3402,000-07-00
3403,000-00-07
3404,029-00-00
3405,000-05-00
3406,041-00-00
3407,Blank
3408,037-00-00
3409,033-00-00
3410,060-00-00
3411,059-00-00
3412,010-00-00
3413,001-00-00
3414,000-08-00
3415,037-00-00
3416,065-00-00
3417,025-00-00
3418,006-10-00
3419,073-00-00
3420,002-00-00
3421,001-02-00
3422,051-00-00
3423,016-00-00
3424,045-00-00
3425,023-00-00
3426,Blank
3427,000-04-00
3428,023-00-00
3429,004-00-00
3430,009-00-00
3431,020-00-00
3432,000-00-08
3433,003-00-00
3434,000-00-14
3435,035-00-00
3436,048-00-00
3437,040-00-00
3438,030-00-00
3439,038-00-00
3440,030-00-00
3441,Blank
3442,060-00-00
3443,000-00-00
3444,001-00-11
3445,040-00-00
3446,Blank
3447,000-07-00
3448,033-00-00
3449,049-00-00
3450,000-03-00
3451,015-00-00
3452,007-08-00
3453,002-00-00
3454,040-00-00
3455,032-00-00
3456,049-00-00
3457,000-00-14
3458,000-02-00
3459,060-00-00
3460,Blank
3461,Blank
3462,Blank
3463,Blank
3464,017-00-00
3465,040-00-00
3466,004-00-04
3467,000-00-00
3468,001-00-00
3469,045-00-00
3470,000-10-00
3471,000-06-00
3472,035-00-00
3473,001-06-00
3474,Blank
3475,042-00-00
3476,036-00-00
3477,035-00-00
3478,060-00-00
3479,000-00-08
3480,037-00-00
3481,062-00-00
3482,034-00-00
3483,009-00-00
3484,000-10-00
3485,040-00-00
3486,062-00-00
3487,Blank
3488,050-00-00
3489,074-00-00
3490,051-00-00
3491,024-00-00
3492,Blank
3493,002-00-00
3494,010-00-00
3495,060-00-00
3496,000-00-02
3497,Blank
3498,033-00-00
3499,
3500,002-00-00
3501,040-00-00
3502,Blank
3503,000-06-00
3504,000-00-08
3505,037-00-00
3506,Blank
3507,001-04-00
3508,Blank
3509,076-00-00
3510,030-00-00
3511,031-00-00
3512,000-00-00
3513,000-00-00
3514,040-00-00
3515,047-00-00
3516,073-00-00
3517,060-00-00
3518,033-00-00
3519,070-00-00
3520,001-00-00
3521,006-00-00
3522,000-09-00
3523,001-00-00
3524,040-00-00
3525,064-00-00
3526,025-00-00
3527,018-00-00
3528,000-00-00
3529,026-00-00
3530,002-00-00
3531,013-00-00
3532,000-04-00
3533,032-00-00
3534,
3535,054-00-00
3536,000-08-00
3537,000-10-00
3538,040-00-00
3539,000-00-10
3540,034-00-00
3541,040-00-00
3542,045-00-00
3543,031-00-00
3544,000-01-06
3545,030-00-00
3546,000-06-00
3547,003-00-00
3548,000-04-00
3549,046-00-00
3550,079-00-00
3551,024-00-00
3552,008-00-00
3553,023-00-00
3554,024-00-00
3555,Blank
3556,002-00-00
3557,000-08-00
3558,002-00-00
3559,002-00-00
3560,003-00-00
3561,040-00-00
3562,017-00-00
3563,024-00-00
3564,036-00-00
3565,000-00-05
3566,000-00-00
3567,055-00-00
3568,013-00-00
3569,000-00-14
3570,017-00-00
3571,029-00-00
3572,000-05-00
3573,012-00-00
3574,070-00-00
3575,036-00-00
3576,075-00-00
3577,000-05-16
3578,076-00-00
3579,002-03-00
3580,000-07-00
3581,000-06-00
3582,017-00-00
3583,050-00-00
3584,067-00-00
3585,065-00-00
3586,035-00-00
3587,057-00-00
3588,032-00-00
3589,024-00-00
3590,067-00-00
3591,048-00-00
3592,057-00-00
3593,002-00-00
3594,038-00-00
3595,030-00-00
3596,048-00-00
3597,Blank
3598,039-00-00
3599,004-00-00
3600,000-00-00
3601,030-00-00
3602,Blank
3603,021-00-00
3604,001-00-00
3605,017-00-00
3606,000-06-00
3607,001-04-00
3608,006-00-00
3609,011-03-00
3610,000-11-00
3611,Blank
3612,001-00-00
3613,001-05-00
3614,030-00-00
3615,000-02-00
3616,002-06-00
3617,035-00-00
3618,068-00-00
3619,Blank
3620,000-03-00
3621,052-00-00
3622,000-00-00
3623,001-06-00
3624,000-00-18
3625,006-00-00
3626,000-02-00
3627,053-00-00
3628,009-06-00
3629,036-00-00
3630,001-02-00
3631,Blank
3632,000-00-00
3633,030-00-00
3634,000-04-00
3635,000-10-00
3636,000-00-21
3637,065-00-00
3638,040-00-00
3639,040-00-00
3640,000-08-14
3641,004-00-00
3642,000-02-00
3643,Blank
3644,050-00-00
3645,029-00-00
3646,000-01-14
3647,000-00-21
3648,000-00-02
3649,050-00-00
3650,Blank
3651,002-06-00
3652,035-00-00
3653,021-00-00
3654,019-00-00
3655,065-00-00
3656,001-00-00
3657,001-00-00
3658,000-00-05
3659,001-06-00
3660,001-06-00
3661,000-05-00
3662,000-00-05
3663,017-02-00
3664,001-06-00
3665,025-00-00
3666,001-06-00
3667,000-00-07
3668,Blank
3669,000-01-00
3670,000-00-08
3671,027-00-00
3672,000-06-00
3673,002-00-00
3674,001-03-00
3675,002-08-00
3676,045-00-00
3677,001-06-02
3678,000-00-03
3679,001-00-00
3680,040-00-00
3681,055-00-00
3682,Blank
3683,040-00-00
3684,024-00-00
3685,002-00-00
3686,002-04-00
3687,050-00-00
3688,025-00-00
3689,
3690,Blank
3691,060-00-00
3692,000-01-25
3693,059-00-00
3694,040-00-00
3695,004-00-00
3696,000-00-03
3697,067-00-00
3698,073-00-00
3699,072-00-00
3700,Blank
3701,007-00-00
3702,082-00-00
3703,030-00-00
3704,000-01-00
3705,004-00-00
3706,Blank
3707,000-04-00
3708,000-01-02
3709,002-07-00
3710,001-00-00
3711,053-00-00
3712,030-00-00
3713,002-00-00
3714,042-00-18
3715,000-09-00
3716,002-00-00
3717,Blank
3718,073-00-00
3719,069-00-00
3720,000-00-13
3721,031-00-00
3722,050-00-00
3723,000-00-04
3724,000-01-12
3725,Blank
3726,070-00-00
3727,000-00-01
3728,Blank
3729,036-00-00
3730,035-00-00
3731,000-11-00
3732,070-00-00
3733,011-00-00
3734,002-00-00
3735,Blank
3736,000-01-00
3737,035-00-00
3738,013-00-00
3739,000-00-09
3740,038-00-00
3741,050-00-00
3742,Blank
3743,050-00-00
3744,030-00-00
3745,027-00-00
3746,Blank
3747,062-00-00
3748,065-00-00
3749,000-00-00
3750,005-04-05
3751,007-00-00
3752,031-00-00
3753,020-00-00
3754,020-00-00
3755,015-00-03
3756,Blank
3757,084-11-00
3758,015-00-00
3759,045-00-00
3760,000-00-25
3761,083-00-00
3762,025-00-00
3763,000-00-00
3764,011-00-00
3765,033-00-00
3766,Blank
3767,000-00-01
3768,039-00-00
3769,028-00-00
3770,002-00-00
3771,002-00-00
3772,003-00-00
3773,069-00-00
3774,000-00-00
3775,Blank
3776,000-02-06
3777,000-00-09
3778,025-00-00
3779,000-00-00
3780,040-00-00
3781,083-00-00
3782,Blank
3783,000-00-00
3784,000-00-00
3785,070-00-00
3786,045-00-00
3787,Blank
3788,079-00-00
3789,Blank
3790,000-00-06
3791,055-00-00
3792,040-00-00
3793,052-05-18
3794,032-00-00
3795,000-01-14
3796,021-00-00
3797,Blank
3798,046-00-00
3799,065-00-00
3800,002-00-00
3801,000-00-00
3802,000-00-04
3803,035-00-00
3804,000-00-13
3805,016-11-00
3806,000-00-00
3807,054-00-00
3808,033-00-00
3809,Blank
3810,065-00-00
3811,070-00-00
3812,054-00-00
3813,000-00-07
3814,Blank
3815,025-00-00
3816,035-00-00
3817,001-11-00
3818,090-00-00
3819,025-00-00
3820,040-00-00
3821,053-00-00
3822,Blank
3823,Blank
3824,007-00-00
3825,075-00-00
3826,065-00-00
3827,035-00-00
3828,048-00-00
3829,001-01-00
3830,054-00-00
3831,023-00-00
3832,000-09-00
3833,050-00-00
3834,042-00-00
3835,000-00-00
3836,074-00-00
3837,064-00-00
3838,030-00-00
3839,
3840,Blank
3841,055-00-00
3842,065-00-00
3843,000-00-00
3844,
3845,022-00-00
3846,055-00-00
3847,008-00-00
3848,000-00-00
3849,059-00-00
3850,000-06-00
3851,050-00-00
3852,060-00-00
3853,092-00-00
3854,063-00-00
3855,Blank
3856,018-00-00
3857,000-00-00
3858,017-00-00
3859,000-00-00
3860,060-00-00
3861,080-00-00
3862,033-00-00
3863,000-01-14
3864,004-00-00
3865,010-00-00
3866,047-00-00
3867,001-00-00
3868,038-00-00
3869,
3870,093-00-00
3871,024-00-00
3872,001-11-00
3873,034-00-00
3874,Blank
3875,027-00-00
3876,001-00-00
3877,
3878,001-06-00
3879,000-05-00
3880,000-00-01
3881,022-00-00
3882,022-00-00
3883,000-03-00
3884,000-60-00
3885,001-04-00
3886,000-00-00
3887,018-00-00
3888,064-00-00
3889,000-07-00
3890,005-00-00
3891,001-00-00
3892,000-04-00
3893,000-00-00
3894,000-07-00
3895,001-06-00
3896,000-08-08
3897,052-00-00
3898,000-07-00
3899,026-00-00
3900,000-00-00
3901,000-00-00
3902,000-09-00
3903,000-00-08
3904,000-09-00
3905,001-06-00
3906,000-04-00
3907,034-00-00
3908,030-00-00
3909,041-00-00
3910,000-01-00
3911,030-00-00
3912,030-00-00
3913,000-05-03
3914,042-00-00
3915,001-09-00
3916,
3917,000-11-17
3918,066-00-00
3919,053-00-00
3920,Blank
3921,000-00-08
3922,015-00-00
3923,035-00-00
3924,001-07-00
3925,001-03-14
3926,030-00-00
3927,027-00-00
3928,029-00-00
3929,040-00-00
3930,016-00-00
3931,030-00-00
3932,001-08-00
3933,041-00-00
3934,043-04-24
3935,047-00-00
3936,001-03-00
3937,Blank
3938,063-00-00
3939,
3940,000-00-06
3941,000-04-00
3942,018-00-00
3943,025-00-00
3944,000-00-06
3945,085-00-00
3946,022-00-00
3947,Blank
3948,027-00-00
3949,000-00-03
3950,000-06-00
3951,030-00-00
3952,Blank
3953,026-00-00
3954,000-07-00
3955,036-00-00
3956,Blank
3957,026-00-00
3958,013-00-00
3959,018-03-18
3960,034-00-00
3961,Blank
3962,034-00-00
3963,000-14-00
3964,001-03-00
3965,000-00-03
3966,000-05-00
3967,Blank
3968,005-08-00
3969,020-00-00
3970,018-00-00
3971,000-10-00
3972,000-02-00
3973,001-11-00
3974,000-09-00
3975,000-05-00
3976,017-00-00
3977,011-00-00
3978,060-00-00
3979,000-01-10
3980,036-07-00
3981,028-00-00
3982,Blank
3983,000-00-02
3984,054-00-00
3985,000-00-00
3986,000-09-00
3987,000-00-00
3988,Blank
3989,000-10-00
3990,033-00-00
3991,000-00-09
3992,038-00-00
3993,020-00-00
3994,000-05-00
3995,038-00-00
3996,019-00-00
3997,065-00-00
3998,040-00-00
3999,030-00-00
4000,000-00-00
4001,054-00-00
4002,000-11-00
4003,023-00-00
4004,000-00-00
4005,063-00-00
4006,071-00-00
4007,000-00-07
4008,041-00-00
4009,024-00-00
4010,032-10-14
4011,038-00-00
4012,040-00-00
4013,
4014,022-00-00
4015,061-00-00
4016,040-00-00
4017,001-03-00
4018,000-00-00
4019,Blank
4020,075-00-00
4021,063-00-00
4022,Blank
4023,020-00-00
4024,003-00-00
4025,026-00-00
4026,050-00-00
4027,040-00-00
4028,020-00-00
4029,060-00-00
4030,055-00-00
4031,000-00-14
4032,005-00-00
4033,018-00-00
4034,052-00-00
4035,000-10-00
4036,000-09-00
4037,035-00-00
4038,002-00-00
4039,000-00-00
4040,046-00-00
4041,038-00-00
4042,Blank
4043,002-00-00
4044,048-00-00
4045,045-00-00
4046,000-00-00
4047,000-06-00
4048,050-00-00
4049,047-00-00
4050,000-00-19
4051,045-00-00
4052,000-00-14
4053,065-00-00
4054,058-00-00
4055,000-00-10
4056,036-00-00
4057,Blank
4058,Blank
4059,001-00-00
4060,040-00-00
4061,047-00-00
4062,025-00-00
4063,000-01-14
4064,000-02-00
4065,026-00-00
4066,039-00-00
4067,030-00-00
4068,001-00-00
4069,000-01-00
4070,022-00-00
4071,001-07-00
4072,000-03-00
4073,000-00-02
4074,000-11-00
4075,038-00-00
4076,000-11-00
4077,054-00-00
4078,000-00-05
4079,034-00-00
4080,026-00-00
4081,050-00-00
4082,001-11-00
4083,042-00-00
4084,035-00-00
4085,022-00-00
4086,000-00-01
4087,Blank
4088,001-07-00
4089,001-02-00
4090,052-00-00
4091,Blank
4092,015-00-00
4093,006-00-00
4094,060-00-00
4095,Blank
4096,000-00-05
4097,000-00-10
4098,000-00-05
4099,019-00-00
4100,035-00-00
4101,Blank
4102,001-06-00
4103,025-00-00
4104,014-00-00
4105,052-00-00
4106,000-04-00
4107,000-00-09
4108,Blank
4109,068-00-00
4110,Blank
4111,022-00-00
4112,065-00-00
4113,000-00-06
4114,065-00-00
4115,000-10-00
4116,016-00-00
4117,002-00-00
4118,035-00-00
4119,016-00-00
4120,033-00-00
4121,051-00-00
4122,002-00-00
4123,
4124,000-00-00
4125,001-07-00
4126,027-00-00
4127,000-00-10
4128,027-11-10
4129,004-00-00
4130,001-07-00
4131,010-00-00
4132,000-10-00
4133,029-00-00
4134,035-00-00
4135,001-07-00
4136,
4137,047-00-00
4138,000-02-00
4139,001-11-00
4140,Blank
4141,Blank
4142,000-04-00
4143,028-00-00
4144,000-03-00
4145,040-00-00
4146,035-00-00
4147,000-00-01
4148,001-03-00
4149,Blank
4150,Blank
4151,035-08-00
4152,047-00-00
4153,Blank
4154,Blank
4155,000-01-03
4156,066-00-00
4157,000-00-00
4158,001-02-16
4159,002-05-00
4160,001-06-00
4161,041-00-00
4162,Blank
4163,029-00-00
4164,028-00-00
4165,021-00-00
4166,028-00-00
4167,025-00-00
4168,019-00-00
4169,000-00-00
4170,000-05-00
4171,060-10-02
4172,035-00-00
4173,017-01-01
4174,036-00-00
4175,031-00-00
4176,035-00-00
4177,075-00-00
4178,000-05-00
4179,008-00-00
4180,036-00-00
4181,001-04-00
4182,Blank
4183,Blank
4184,000-09-00
4185,070-00-00
4186,027-00-00
4187,000-00-11
4188,Blank
4189,085-00-00
4190,Blank
4191,Blank
4192,033-00-00
4193,030-00-00
4194,074-00-00
4195,050-00-00
4196,030-00-00
4197,029-00-00
4198,059-00-00
4199,020-00-00
4200,Blank
4201,070-00-00
4202,007-00-00
4203,008-00-00
4204,038-00-00
4205,026-00-00
4206,000-00-00
4207,033-00-00
4208,030-00-00
4209,025-00-00
4210,035-00-00
4211,002-03-00
4212,021-00-00
4213,008-00-00
4214,035-00-00
4215,Blank
4216,001-06-00
4217,000-05-00
4218,000-00-00
4219,000-10-00
4220,000-00-00
4221,000-00-00
4222,089-00-00
4223,080-00-00
4224,Blank
4225,002-00-00
4226,000-02-00
4227,014-00-00
4228,044-00-00
4229,050-00-00
4230,045-00-00
4231,000-00-08
4232,050-00-00
4233,Blank
4234,Blank
4235,Blank
4236,000-06-00
4237,030-00-00
4238,026-00-00
4239,000-00-00
4240,Blank
4241,000-03-00
4242,001-03-00
4243,017-06-00
4244,066-00-00
4245,037-00-00
4246,050-00-00
4247,028-00-00
4248,000-03-00
4249,000-01-03
4250,000-06-00
4251,000-06-00
4252,000-06-00
4253,000-10-00
4254,030-00-00
4255,043-00-00
4256,039-00-00
4257,000-10-15
4258,000-00-00
4259,040-00-00
4260,Blank
4261,038-00-00
4262,001-03-00
4263,075-00-00
4264,048-00-00
4265,026-00-00
4266,000-00-24
4267,043-00-00
4268,000-02-00
4269,023-00-00
4270,000-11-00
4271,062-00-00
4272,060-00-00
4273,000-04-00
4274,Blank
4275,028-00-00
4276,Blank
4277,000-03-00
4278,030-00-00
4279,012-00-00
4280,045-00-00
4281,013-00-00
4282,000-05-00
4283,020-00-00
4284,032-00-00
4285,044-00-00
4286,021-00-00
4287,000-07-00
4288,000-00-08
4289,016-00-00
4290,037-00-00
4291,058-00-00
4292,Blank
4293,052-00-00
4294,054-00-00
4295,000-07-22
4296,Blank
4297,000-11-00
4298,Blank
4299,005-00-00
4300,Blank
4301,000-10-00
4302,001-03-00
4303,047-00-00
4304,000-00-00
4305,025-00-00
4306,086-09-09
4307,048-00-00
4308,005-00-00
4309,072-00-00
4310,Blank
4311,001-02-00
4312,000-05-00
4313,Blank
4314,054-00-00
4315,Blank
4316,Blank
4317,030-00-00
4318,Blank
4319,040-00-00
4320,000-00-11
4321,000-11-00
4322,023-00-00
4323,000-04-00
4324,Blank
4325,Blank
4326,001-02-00
4327,000-00-03
4328,Blank
4329,Blank
4330,016-00-00
4331,070-00-00
4332,002-00-00
4333,000-11-00
4334,000-03-00
4335,000-00-00
4336,000-06-00
4337,040-00-00
4338,002-00-00
4339,025-00-00
4340,026-00-00
4341,000-00-14
4342,000-00-00
4343,001-00-00
4344,049-00-00
4345,000-00-04
4346,027-00-00
4347,070-00-00
4348,Blank
4349,046-00-00
4350,025-00-00
4351,Blank
4352,001-06-00
4353,001-05-00
4354,000-00-00
4355,060-00-00
4356,040-00-00
4357,029-00-00
4358,057-00-00
4359,043-00-00
4360,038-00-00
4361,001-06-00
4362,000-00-03
4363,060-00-00
4364,024-00-00
4365,017-00-00
4366,000-00-00
4367,069-00-00
4368,018-00-00
4369,036-00-00
4370,003-00-00
4371,082-00-00
4372,000-00-15
4373,000-00-00
4374,019-00-00
4375,001-04-00
4376,000-06-00
4377,000-00-00
4378,000-00-00
4379,000-00-00
4380,Blank
4381,Blank
4382,050-00-00
4383,021-00-00
4384,Blank
4385,000-10-15
4386,055-00-00
4387,Blank
4388,070-00-00
4389,038-00-00
4390,042-00-00
4391,026-00-00
4392,000-02-00
4393,021-00-00
4394,040-00-00
4395,000-00-00
4396,045-00-00
4397,003-00-00
4398,045-00-00
4399,000-08-00
4400,002-09-00
4401,000-00-00
4402,081-00-00
4403,001-09-00
4404,045-00-00
4405,040-00-00
4406,050-00-00
4407,052-00-00
4408,076-00-00
4409,020-00-00
4410,042-00-00
4411,011-00-00
4412,037-00-00
4413,001-04-00
4414,000-00-04
4415,060-00-00
4416,065-00-00
4417,019-00-00
4418,000-00-00
4419,000-00-00
4420,030-00-00
4421,001-04-00
4422,050-00-00
4423,000-11-00
4424,000-00-00
4425,055-00-00
4426,000-00-00
4427,049-00-00
4428,Blank
4429,009-00-00
4430,065-00-00
4431,003-00-00
4432,000-00-00
4433,000-01-21
4434,080-00-00
4435,030-00-00
4436,030-00-00
4437,000-04-00
4438,049-00-00
4439,017-07-00
4440,Blank
4441,002-06-00
4442,
4443,014-00-00
4444,000-00-00
4445,026-00-00
4446,066-00-00
4447,026-00-00
4448,038-00-00
4449,048-00-00
4450,000-10-00
4451,002-06-00
4452,Blank
4453,043-00-00
4454,000-00-00
4455,Blank
4456,036-00-00
4457,000-08-00
4458,008-00-00
4459,077-00-00
4460,000-00-12
4461,001-03-00
4462,000-06-00
4463,004-00-00
4464,081-00-00
4465,067-00-00
4466,000-09-00
4467,014-00-00
4468,001-01-00
4469,001-02-00
4470,050-00-00
4471,021-00-00
4472,031-00-00
4473,022-00-00
4474,000-09-00
4475,000-06-00
4476,001-02-00
4477,016-00-00
4478,018-00-00
4479,001-02-00
4480,005-00-00
4481,026-00-00
4482,000-10-00
4483,016-00-00
4484,000-04-01
4485,080-00-00
4486,Blank
4487,082-00-00
4488,Blank
4489,000-00-09
4490,Blank
4491,057-00-00
4492,000-00-00
4493,Blank
4494,052-00-00
4495,Blank
4496,050-00-00
4497,071-00-00
4498,000-00-00
4499,001-06-00
4500,042-00-00
4501,000-00-00
4502,000-00-00
4503,Blank
4504,004-00-00
4505,062-00-00
4506,025-00-00
4507,042-00-00
4508,048-00-00
4509,047-00-00
4510,010-00-00
4511,000-08-00
4512,058-00-00
4513,Blank
4514,006-00-00
4515,001-00-00
4516,040-00-00
4517,076-00-00
4518,049-00-00
4519,062-09-00
4520,Blank
4521,018-00-00
4522,001-02-00
4523,Blank
4524,040-00-00
4525,
4526,000-00-21
4527,Blank
4528,Blank
4529,021-00-00
4530,Blank
4531,000-00-00
4532,008-00-00
4533,Blank
4534,Blank
4535,Blank
4536,030-00-00
4537,000-00-00
4538,000-00-00
4539,000-00-09
4540,032-00-00
4541,000-00-05
4542,037-00-00
4543,017-00-00
4544,002-00-00
4545,031-00-00
4546,005-00-00
4547,035-00-00
4548,Blank
4549,Blank
4550,003-00-00
4551,019-00-00
4552,050-00-00
4553,018-00-00
4554,000-01-07
4555,039-00-00
4556,Blank
4557,060-00-00
4558,000-00-07
4559,Blank
4560,034-00-00
4561,000-00-00
4562,Blank
4563,012-00-00
4564,000-00-06
4565,Blank
4566,036-00-00
4567,000-00-00
4568,030-00-00
4569,002-11-00
4570,040-00-00
4571,000-06-00
4572,030-00-00
4573,017-00-00
4574,017-00-00
4575,038-00-00
4576,002-00-00
4577,000-06-12
4578,055-00-00
4579,Blank
4580,068-00-00
4581,Blank
4582,025-00-00
4583,000-06-00
4584,000-00-14
4585,095-00-00
4586,000-04-00
4587,044-00-00
4588,108-00-00
4589,065-00-00
4590,019-00-00
4591,033-00-00
4592,039-00-00
4593,042-00-00
4594,000-06-00
4595,001-06-00
4596,Blank
4597,005-06-00
4598,077-00-00
4599,070-00-00
4600,018-00-00
4601,000-03-00
4602,Blank
4603,Blank
4604,022-00-00
4605,024-00-00
4606,Blank
4607,000-06-00
4608,055-00-00
4609,033-00-00
4610,000-00-02
4611,036-00-00
4612,000-00-00
4613,Blank
4614,Blank
4615,008-00-00
4616,030-00-00
4617,077-00-00
4618,060-00-00
4619,010-00-00
4620,014-00-00
4621,039-00-00
4622,054-00-00
4623,Blank
4624,047-00-00
4625,Blank
4626,066-00-00
4627,031-00-00
4628,070-00-00
4629,070-00-00
4630,Blank
4631,075-00-00
4632,Blank
4633,040-00-00
4634,Blank
4635,046-00-00
4636,000-04-00
4637,Blank
4638,000-02-00
4639,030-00-00
4640,000-06-21
4641,060-00-00
4642,000-07-00
4643,001-00-00
4644,000-00-03
4645,060-00-00
4646,056-00-00
4647,050-00-00
4648,040-00-00
4649,021-00-00
4650,049-00-00
4651,000-04-00
4652,000-07-00
4653,000-03-00
4654,Blank
4655,033-00-00
4656,020-00-00
4657,000-07-00
4658,054-00-00
4659,018-00-00
4660,000-06-00
4661,001-00-00
4662,048-00-00
4663,001-00-00
4664,028-00-00
4665,084-00-00
4666,001-03-00
4667,028-00-00
4668,076-00-00
4669,000-07-00
4670,033-00-00
4671,000-06-00
4672,023-00-00
4673,094-00-00
4674,000-09-00
4675,056-00-00
4676,002-00-00
4677,027-00-00
4678,039-00-00
4679,028-00-00
4680,Blank
4681,Blank
4682,055-00-00
4683,019-00-00
4684,040-00-00
4685,000-00-00
4686,060-00-00
4687,027-00-00
4688,022-00-00
4689,Blank
4690,003-00-00
4691,007-02-14
4692,023-00-00
4693,085-00-00
4694,065-00-00
4695,009-00-00
4696,020-00-00
4697,000-00-00
4698,Blank
4699,Blank
4700,000-01-15
4701,026-00-00
4702,000-00-00
4703,032-00-00
4704,034-00-00
4705,025-00-00
4706,Blank
4707,Blank
4708,040-00-00
4709,027-00-00
4710,036-00-00
4711,000-02-00
4712,075-00-00
4713,056-00-00
4714,000-02-00
4715,025-00-00
4716,040-00-00
4717,025-00-00
4718,043-00-00
4719,040-00-00
4720,000-11-00
4721,000-00-09
4722,042-00-00
4723,034-00-00
4724,Blank
4725,000-00-00
4726,000-00-00
4727,001-00-00
4728,070-00-00
4729,040-00-00
4730,032-00-00
4731,050-00-00
4732,010-06-00
4733,073-00-00
4734,028-00-00
4735,071-00-00
4736,
4737,000-00-00
4738,055-00-00
4739,027-00-00
4740,057-00-00
4741,Blank
4742,038-00-00
4743,031-00-00
4744,000-00-06
4745,069-00-00
4746,011-00-00
4747,020-00-00
4748,018-00-00
4749,040-00-00
4750,Blank
4751,017-00-00
4752,052-00-00
4753,000-01-14
4754,050-00-00
4755,064-00-00
4756,000-03-00
4757,000-00-00
4758,043-00-00
4759,025-00-00
4760,052-00-00
4761,028-00-00
4762,000-00-01
4763,Blank
4764,Blank
4765,010-00-00
4766,Blank
4767,Blank
4768,011-00-00
4769,072-00-00
4770,032-00-00
4771,068-00-00
4772,044-00-00
4773,000-02-00
4774,018-00-00
4775,018-00-00
4776,000-00-00
4777,000-00-00
4778,057-00-00
4779,035-00-00
4780,000-00-21
4781,001-06-00
4782,000-00-00
4783,051-00-00
4784,048-00-00
4785,
4786,073-00-00
4787,016-00-00
4788,Blank
4789,005-00-06
4790,048-00-00
4791,000-00-00
4792,003-00-00
4793,051-00-00
4794,Blank
4795,048-00-00
4796,024-00-00
4797,022-00-00
4798,075-00-00
4799,058-00-00
4800,Blank
4801,000-09-00
4802,049-00-00
4803,022-00-00
4804,021-00-00
4805,040-00-00
4806,000-08-00
4807,048-00-00
4808,045-00-00
4809,021-00-00
4810,000-00-00
4811,000-00-00
4812,000-00-00
4813,000-00-13
4814,Blank
4815,044-00-00
4816,075-00-00
