pkoakwood,yearsmonthsdays
419,N
420,034-00-00
421,N
422,000-18-00
423,N
424,N
425,N
426,000-18-00
427,N
429,000-14-00
430,052-00-00
431,025-00-00
432,001-05-00
433,N
434,025-00-00
435,022-00-00
436,000-17-08
437,033-00-00
438,N
439,027-00-00
440,075-00-00
441,000-00-00
442,026-00-00
443,000-08-25
444,000-00-06
445,000-15-00
446,000-15-08
447,000-17-00
448,000-00-01
449,038-00-00
450,000-17-00
451,002-00-00
452,N
453,000-00-00
454,002-00-00
455,000-13-00
456,002-00-00
457,030-00-00
458,N
459,N
460,011-00-00
461,N
462,N
463,N
464,000-02-00
465,000-02-00
466,000-06-19
467,000-03-00
468,000-24-00
469,000-18-00
470,000-08-00
471,000-02-00
472,000-11-00
473,N
474,000-06-00
475,020-10-00
476,N
477,005-01-00
478,010-09-00
479,035-00-00
480,026-00-00
481,040-00-00
482,000-00-00
483,000-05-00
484,056-00-00
485,003-00-00
486,000-00-22
487,001-06-00
488,000-00-00
489,025-00-00
490,014-00-00
491,050-00-00
492,000-18-22
493,035-00-00
494,018-00-00
495,000-00-20
496,000-10-00
497,000-00-01
498,017-00-00
499,000-17-00
500,N
501,N
502,001-03-00
503,006-00-00
504,000-00-02
505,000-00-02
506,035-00-00
507,N
508,000-14-00
509,058-00-00
510,N
511,076-00-00
512,026-00-00
513,N
514,000-00-08
515,072-00-00
516,000-00-00
517,000-14-00
518,002-10-14
519,090-00-00
520,055-00-00
521,N
522,025-00-00
523,039-00-00
524,000-02-00
525,050-00-00
526,000-11-09
527,014-00-00
528,023-00-00
529,052-00-00
530,047-00-00
531,014-00-00
532,011-00-00
533,030-00-00
534,Blank
535,028-00-00
536,002-00-00
537,Blank
538,105-00-00
539,014-00-00
540,001-00-00
541,036-00-00
542,020-00-00
543,000-00-08
544,Blank
545,Blank
546,022-00-00
547,Blank
548,000-08-00
549,028-00-00
550,014-00-00
551,000-01-04
552,Blank
553,000-00-08
554,018-00-00
555,000-01-00
556,014-00-00
557,005-00-05
558,018-00-00
559,070-00-00
560,057-00-00
561,035-00-00
562,Blank
563,012-00-00
564,000-00-08
565,000-00-01
566,000-10-05
567,000-18-00
568,035-00-00
569,Blank
570,045-00-00
571,040-00-00
572,Blank
573,Blank
574,046-00-00
575,Blank
576,032-00-00
577,004-00-00
578,045-00-00
579,N
580,Blank
581,Blank
582,021-00-00
583,045-00-00
584,000-00-21
585,Blank
586,000-00-00
587,000-01-07
588,001-00-00
589,035-00-00
590,002-00-00
591,Blank
592,057-00-00
593,060-00-00
594,002-00-00
595,022-00-00
596,000-01-21
597,014-00-00
598,029-00-00
599,Blank
600,030-00-00
601,Blank
602,002-00-00
603,008-00-00
604,059-00-00
605,005-00-00
606,019-00-00
607,Blank
608,Blank
609,Blank
610,049-02-16
611,017-00-00
612,023-00-00
613,035-00-00
614,022-00-00
615,023-00-00
616,020-00-00
617,Blank
618,000-01-10
619,002-02-00
620,050-00-00
621,002-07-00
622,055-00-00
623,000-09-00
624,055-00-00
625,021-11-00
626,Blank
627,000-05-00
628,000-04-00
629,000-04-00
630,Blank
631,Blank
632,013-00-00
633,000-00-42
634,000-05-13
635,000-03-00
636,023-00-00
637,040-00-00
638,000-00-08
639,022-10-00
640,Blank
641,Blank
642,Blank
643,Blank
644,Blank
645,000-13-00
646,058-00-00
647,002-00-00
648,Blank
649,Blank
650,Blank
651,038-00-00
652,000-00-20
653,045-00-00
654,014-00-00
655,000-00-09
656,000-00-00
657,000-13-00
658,000-00-16
659,040-00-00
660,030-00-00
661,030-00-00
662,000-15-00
663,000-00-00
664,000-15-00
665,000-00-00
666,000-09-00
667,000-00-01
668,026-00-00
669,000-00-00
670,001-00-07
671,000-16-00
672,002-00-00
673,Blank
674,Blank
675,032-00-00
676,000-00-03
677,000-10-00
678,002-06-00
679,041-00-00
680,036-00-00
681,002-00-00
682,020-00-00
683,000-01-14
684,000-13-00
685,054-00-00
686,000-05-00
687,000-00-00
688,001-01-00
689,Blank
690,000-09-00
691,006-00-00
692,074-00-00
693,048-00-00
694,045-00-00
695,002-02-07
696,002-00-00
697,000-09-00
698,000-00-00
699,Blank
700,073-00-00
701,054-00-00
702,Blank
703,048-00-00
704,000-00-03
705,000-13-00
706,000-10-00
707,040-00-14
708,000-14-00
709,000-10-00
710,000-13-22
711,000-00-03
712,000-00-00
713,050-00-00
714,000-05-00
715,000-13-00
716,000-03-00
717,000-14-00
718,Blank
719,001-10-00
720,000-00-00
721,002-00-35
722,030-00-00
723,000-07-00
724,000-08-00
725,080-00-00
726,002-00-00
727,000-00-09
728,002-00-00
729,002-02-07
730,000-00-00
731,000-12-00
732,100-00-00
733,Blank
734,000-03-00
735,Blank
736,050-00-00
737,035-00-00
738,000-08-00
739,Blank
740,050-00-00
741,Blank
742,000-09-00
743,Blank
744,065-00-00
745,047-00-00
746,000-08-00
747,032-00-00
748,023-00-00
749,032-00-00
750,098-04-07
751,Blank
752,019-00-00
753,067-00-00
754,Blank
755,000-04-00
756,000-12-00
757,041-00-00
758,049-00-00
759,045-00-00
760,000-12-00
761,035-00-00
762,000-01-00
763,Blank
764,063-00-00
765,035-00-00
766,000-06-00
767,
768,040-00-00
769,000-05-00
770,000-00-18
771,026-00-00
772,020-00-00
773,Blank
774,020-00-00
775,000-07-00
776,000-00-07
777,058-00-00
778,075-00-00
779,103-00-00
780,015-00-00
781,004-00-00
782,040-00-00
783,025-00-00
784,002-06-00
785,035-00-00
786,002-00-00
787,049-00-00
788,031-00-00
789,030-00-00
790,Blank
791,Blank
792,068-06-00
793,Blank
794,000-07-00
795,030-00-00
796,033-00-00
797,023-00-00
798,Blank
799,000-08-00
800,002-00-00
801,068-00-00
802,019-00-00
803,Blank
804,Blank
805,068-00-00
806,Blank
807,
808,Blank
809,000-02-00
810,007-11-00
811,000-04-00
812,040-00-00
813,000-02-00
814,001-00-01
815,000-04-00
816,035-00-00
817,000-01-00
818,020-06-00
819,000-00-00
820,000-06-00
821,003-00-00
822,023-00-00
823,018-00-00
824,002-00-00
825,000-00-03
826,Blank
827,000-15-00
828,035-00-00
829,055-00-00
830,018-00-00
831,Blank
832,Blank
833,045-00-00
834,008-00-00
835,001-02-00
836,023-00-00
837,001-08-00
838,001-03-00
839,Blank
840,053-00-00
841,058-00-00
842,039-00-00
843,000-00-05
844,Blank
845,021-00-00
846,035-00-00
847,000-00-00
848,056-00-00
849,000-04-00
850,000-08-00
851,000-04-00
852,026-00-00
853,001-02-00
854,025-00-00
855,000-00-00
856,000-15-00
857,030-00-00
858,000-18-00
859,001-03-00
860,000-18-00
861,000-18-00
862,063-00-00
863,Blank
864,023-00-00
865,001-00-00
866,017-00-00
867,Blank
868,039-00-00
869,000-07-00
870,000-08-00
871,Blank
872,000-07-00
873,060-00-00
874,045-00-00
875,000-07-00
876,058-00-00
877,013-00-00
878,000-00-03
879,022-00-00
880,000-00-03
881,000-18-00
882,045-00-00
883,046-00-00
884,Blank
885,025-00-00
886,Blank
887,027-00-00
888,Blank
889,Blank
890,Blank
891,Blank
892,048-00-00
893,000-11-00
894,026-00-00
895,000-11-00
896,032-00-00
897,Blank
898,000-00-00
899,050-00-00
900,060-00-00
901,001-11-00
902,026-00-00
903,066-00-00
904,021-00-00
905,000-00-06
906,Blank
907,000-10-00
908,000-11-27
909,030-00-00
910,032-00-00
911,001-00-00
912,036-00-00
913,030-00-00
914,Blank
915,002-00-00
916,015-00-00
917,030-00-00
918,Blank
919,056-00-00
920,080-00-00
921,Blank
922,000-07-08
923,000-18-00
924,017-00-00
925,Blank
926,062-00-00
927,050-00-00
928,073-00-00
929,000-09-00
930,025-00-00
931,000-12-00
932,072-00-00
933,026-00-00
934,040-00-00
935,002-00-00
936,Blank
937,016-00-00
938,035-00-00
939,
940,035-00-00
941,030-00-00
942,Blank
943,066-00-00
944,040-00-00
945,055-00-00
946,028-00-00
947,030-00-00
948,Blank
949,017-00-00
950,020-00-00
951,058-00-00
952,000-00-00
953,000-00-21
954,055-00-00
955,058-00-00
956,023-00-00
957,Blank
958,Blank
959,000-18-00
960,000-31-00
961,031-00-00
962,000-00-08
963,027-00-00
964,050-00-00
965,Blank
966,030-00-00
967,Blank
968,Blank
969,035-00-00
970,Blank
971,012-00-00
972,085-00-00
973,014-00-00
974,028-00-00
975,000-08-00
976,Blank
977,058-00-00
978,052-00-00
979,027-00-00
980,000-15-00
981,042-00-00
982,000-00-02
983,Blank
984,000-17-00
