
"Cattleman
"Lawyer
(blacksmith)
(bootblack)
(carpenter)
(farmer)
(gardener)
(horsetrader)
(laborer)
(sign painter)
(steward/bookkeeper Blind Asylum)
(teacher)
(wood hauler)
38
Blank
Conductor
Friends
Ice Maker (Mr. Brigham)
Painter
Physician
State Senator
Tinner
U.S. Cavalry
U.S. Judge
U.S. Military
U.S. Soldier
[County Supt. of Public Instruction]
[apprentice carriage painter]
[butcher]
[land agent]
builder and mechanic
city
draftsman
fireman
friends
laborer
silversmith
