pkoakwood,whereburied
2582,lot No 428
2583,lot No 89
2584,lot No 56
2585,
2586,
2587,
2588,Colored Grounds
2589,lot No 179
2590,lot No 246
2591,lot No 226
2592,old grave yard
2593,lot No 89
2594,
2595,lot No 264
2596,lot No 243
2597,Colored Grounds
2598,
2599,Colored Grounds
2600,
2601,lot No 259
2602,lot No 178
2603,
2604,Colored Grounds
2605,Colored Grounds
2606,lot No 290
2607,Colored Grounds
2608,old grave yard
2609,Jewish Cemetery
2610,lot No 277
2611,lot No 259
2612,Strangers Grounds
2613,Colored Grounds
2614,lot No 90
2615,lot No 421
2616,Colored Grounds
2617,old grave yard
2618,
2619,Colored Grounds
2620,lot No 258
2621,lot No 325
2622,Colored Grounds
2623,Colored Grounds
2624,lot No 325
2625,
2626,lot No 76
2627,lot No 362
2628,lot No 423
2629,lot No 140
2630,lot No 78
2631,lot No 156
2632,Strangers Grounds
2633,Colored Grounds
2634,
2635,lot No 435
2636,lot No 288
2637,lot No 264
2638,Colored Grounds
2639,Colored Grounds
2640,lot No 380
2641,lot No 434
2642,lot No 89
2643,lot No 171
2644,firemans lot
2645,Colored Grounds
2646,Jewish Cemetery
2647,Colored Grounds
2648,Colored Grounds
2649,Colored Grounds
2650,Colored Grounds
2651,lot No 140
2652,Strangers Grounds
2653,
2654,Strangers Grounds
2655,Colored Grounds
2656,lot 399
2657,Colored Grounds
2658,lot 271
2659,
2660,Colored Grounds
2661,lot 432
2662,
2663,
2664,lot 347
2665,lot 405
2666,
2667,lot 56
2668,Colored Grounds
2669,Strangers Grounds
2670,
2671,Colored Grounds
2672,Colored Grounds
2673,Old grave yard
2674,Colored Grounds
2675,Colored Grounds
2677,Strangers Grounds
2678,lot 39
2679,Colored Grounds
2680,
2681,lot 89
2682,lot 140
2683,lot 422
2684,Colored Grounds
2685,Colored Grounds
2686,
2687,No. 286
2688,lot 422
2689,lot 422
2690,Colored Grounds
2691,Colored Grounds
2692,Colored Grounds
2693,
2694,Colored Grounds
2695,lot 309
2696,Colored Grounds
2697,Old grave yard
2698,Colored Grounds
2699,lot 366
2700,lot 89
2701,lot 56
2702,lot 16
2703,lot 22
2704,lot 89
2705,lot 285
2706,Colored Grounds
2707,Colored Grounds
2708,lot 39
2709,Colored Grounds
2710,lot 156
2711,
2712,Colored Grounds
2713,lot 184
2714,lot 429
2715,Old grave yard
2716,lot 129
2717,Old grave yard
2718,lot 335
2719,
2720,Colored Grounds
2721,lot 89
2722,lot 56
2723,lot 410
2724,lot 410
2725,Colored Grounds
2726,Strangers Grounds
2727,lot 410
2728,Colored Grounds
2729,lot 178
2730,Colored Grounds
2731,
2732,
2733,Colored Grounds
2734,lot 341
2735,lot 89
2736,lot 8
2737,Colored Grounds
2738,lot 430
2739,lot 39
2740,Strangers Grounds
2741,lot 432
2742,Strangers Grounds
2743,lot 431
2744,Colored Grounds
2745,lot 431
2746,Colored Grounds
2747,lot 433
2748,
2749,lot 432
2750,Colored Grounds
2751,lot 429
2752,Colored Grounds
2753,lot 259
2754,Colored Grounds
2755,Old grave yard
2756,lot 219
2757,lot 432
2758,Strangers Grounds
2759,lot 414
2760,Colored Grounds
2761,Colored Grounds
2762,lot 56
2763,Colored Grounds
2764,lot 219
2765,Colored Grounds
2766,lot 434
2767,"lot 140, single grave"
2768,lot 219
2769,Colored Grounds
2770,Colored Grounds
2771,Colored Grounds
2772,Strangers Grounds
2773,Colored Grounds
2774,Colored Grounds
2775,
2776,
2777,lot 432
2778,Colored Grounds
2779,
2780,Colored Grounds
2781,lot 86
2782,Colored Grounds
2783,lot 406
2784,Colored Grounds
2785,lot 76
2786,
2787,Colored Grounds
2788,Colored Grounds
2789,lot 91
2790,lot 176
2791,Strangers Grounds
2792,Colored Grounds
2793,lot 98
2794,
2795,Colored Grounds
2796,lot 157
2797,Colored Grounds
2798,lot 101
2799,lot 106
2800,lot 429
2801,lot 89
2802,Old grave yard
2803,Old grave yard
2804,Colored Grounds
2805,lot 326
2806,Strangers Grounds
2807,lot 157
2808,lot 140
2809,lot 429
2810,
2811,Colored Grounds
2812,Colored Grounds
2813,Colored Grounds
2814,lot 131
2815,lot 7
2816,Old grave yard
2817,Colored Grounds
2818,lot 439
2819,
2820,lot 131
2821,Colored Grounds
2822,lot 373
2823,lot 373
2824,
2825,
2826,Strangers Grounds
2827,Old grave yard
2828,Colored Grounds
2829,lot 163
2830,Strangers Grounds
2831,Strangers Grounds
2832,lot 432
2833,Strangers Grounds
2834,Strangers Grounds
2835,lot 397
2836,
2837,Strangers Grounds
2838,lot 194
2839,Old grave yard
2840,lot 131
2841,lot 326
2842,
2843,
2844,Colored Grounds
2845,lot 350
2846,Colored Grounds
2847,Strangers Grounds
2848,
2849,lot 439
2850,Strangers Grounds
2851,lot 436
2852,lot 260
2853,Colored Grounds
2854,
2855,lot 331
2856,lot 441
2857,Strangers Grounds
2858,lot 141
2859,lot 393
2860,Strangers Grounds
2861,Colored Grounds
2862,lot 99
2863,Colored Grounds
2864,Strangers Grounds
2865,lot 148
2866,
2867,Strangers Grounds
2868,Colored Grounds
2869,Strangers Grounds
2870,
2871,lot 275
2872,Old grave yard
2873,Strangers Grounds
2874,lot 442
2875,lot 442
2876,Strangers Grounds
2877,Strangers Grounds
2878,lot 427
2879,Mexican Grounds
2880,Strangers Grounds
2881,Colored Grounds
2882,lot 149
2883,lot 289
2884,Old grave yard
2885,Colored Grounds
2886,
2887,Colored Grounds
2888,Colored Grounds
2889,lot 278
2890,Colored Grounds
2891,Jewish ground
2892,lot 259
2893,Strangers Grounds
2894,Colored Grounds
2895,
2896,Colored Grounds
2897,Mexican Grounds
2898,Colored Grounds
2899,Colored Grounds
2900,Strangers Grounds
2901,Colored Grounds
2902,Colored Grounds
2903,Colored Grounds
2904,Colored Grounds
2905,lot 438
2906,lot 437
2907,lot 164
2908,Colored Grounds
2909,lot 141
2910,Colored Grounds
2911,lot 274
2912,lot No 409
2913,lot No 173
2914,lot No 177
2915,lot No 377
2916,
2917,Colored Grounds
2918,
2919,Colored Grounds
2920,
2921,lot No 275
2922,lot No 188
2923,
2924,lot No 140
2925,Old Grounds
2926,lot No 140
2927,Colored Grounds
2928,Strangers Grounds
2929,lot No 112
2930,Colored Grounds
2931,lot No 186
2932,Old Grounds
2933,lot No 140
2934,Strangers Grounds
2935,Colored Grounds
2936,lot No 329
2937,Colored Grounds
2938,Colored Grounds
2939,Colored Grounds
2940,Colored Grounds
2941,lot No 183
2942,lot No 109
2943,lot No 118
2944,Colored Grounds
2945,Colored Grounds
2946,Strangers Grounds
2947,Colored Grounds
2948,
2949,Strangers Grounds
2950,Colored Grounds
2951,lot No 273
2952,
2953,Colored Grounds
2954,
2955,lot No 427
2956,Jewish Cemetery
2957,Old Grounds
2958,lot No 38
2959,Colored Grounds
2960,lot No 396
2961,Mexican Grounds
2962,
2963,lot No 184
2964,lot No 131
2965,lot No 296
2966,Strangers Grounds
2967,Colored Grounds
2968,Colored Grounds
2969,lot No 131
2970,Colored Grounds
2971,lot No 359
2972,lot No 380
2973,lot No 406
2974,
2975,lot No 131
2976,lot No 170
2977,not given
2978,lot No 131
2979,Strangers Grounds
2980,Colored Grounds
2981,Colored Grounds
2982,lot No 131
2983,Strangers Grounds
2984,lot No 427
2985,lot No 140
2986,lot No 359
2987,Strangers Grounds
2988,lot No 140
2989,Colored Grounds
2990,lot No 427
2991,
2992,
2993,Colored Grounds
2994,lot No 140
2995,Colored Grounds
2996,
2997,
2998,lot No 422
2999,
3000,Colored Grounds
3001,Colored Grounds
3002,Old Grounds
3003,Strangers Grounds
3004,Colored Grounds
3005,lot No 35
3006,Colored Grounds
3007,Colored Grounds
3008,
3009,lot No 273
3010,lot No 410
3011,Colored Grounds
3012,lot No 131
3013,Strangers Grounds
3014,Strangers Grounds
3015,Strangers Grounds
3016,
3017,Colored Grounds
3018,lot No 69
3019,lot 334
3020,lot No 143
3021,lot No 441
3022,lot No 173
3023,lot No 428
3024,Colored Grounds
3025,
3026,Old Grounds
3027,lot No 377
3028,Colored Grounds
3029,lot No 44
3030,lot No 427
3031,lot No 141
3032,Colored Grounds
3033,Colored Grounds
3034,lot No 427
3035,Colored Grounds
3036,Colored Grounds
3037,lot No 214
3038,lot No 141
3039,lot No 435
3040,Strangers Grounds
3041,lot No 446
3042,
3043,
3044,Colored Grounds
3045,Old Grounds
3046,lot No 162
3047,
3048,lot No 328
3049,Colored Grounds
3050,Colored Grounds
3051,Strangers Grounds
3052,lot No 264
3053,lot No 173
3054,lot No 213
3055,Colored Grounds
3056,Colored Grounds
3057,Strangers Grounds
3058,Colored Grounds
3059,Old Grounds
3060,lot No 3
3061,Strangers Grounds
3062,Colored Grounds
3063,lot No 141
3064,Colored Grounds
3065,Strangers Grounds
3066,Strangers Grounds
3067,Mexican Grounds
3068,lot No 107
3069,lot No 361
3070,lot No 140
3071,lot No 361
3072,lot No 157
3073,lot No 311
3074,Strangers Grounds
3075,lot No 444
3076,Strangers Grounds
3077,
3078,Colored Grounds
3079,lot No 130
3080,Colored Grounds
3081,Strangers Grounds
3082,Colored Grounds
3083,lot No 130
3084,lot No 129
3085,Mexican Grounds
3086,lot No 140
3087,lot No 406
3088,lot No 444
3089,lot No 445
3090,lot No 444
3091,lot No 443
3092,
3093,lot No 140
3094,lot No 333
3095,Mexican Grounds
3096,lot No 6
3097,Strangers Grounds
3098,
3099,
3100,lot No 122
3101,Colored Grounds
3102,Strangers Grounds
3103,lot No 67
3104,lot No 212
3105,
3106,lot No 141
3107,Colored Grounds
3108,lot No 406
3109,lot No 206
3110,Colored Grounds
3111,Colored Grounds
3112,new cemetery
3113,strangers grounds
3114,
3115,familie lot
3116,familie lot
3117,familie lot 317
3118,familie lot 358
3119,Colored Grounds
3120,Hebrew ground
3121,lot No 430
3122,lot No 87
3123,lot No 113
3124,Colored Grounds
3125,Strangers Grounds
3126,Colored Grounds
3127,Catholic ground
3128,
3129,Lot 429
3130,Strangers Grounds
3131,Lot 376
3132,Colored Grounds
3133,Colored Grounds
3134,Strangers Grounds
3135,Mexican Grounds
3136,Strangers Grounds
3137,Colored Grounds
3138,Colored Grounds
3139,Colored Grounds
3140,Lot 441
3141,Colored Grounds
3142,
3143,
3144,Lot 404
3145,Colored Grounds
3146,Colored Grounds
3147,Lot 448
3148,Lot 332
3149,Lot 376
3150,Colored Grounds
3151,Lot 332
3152,
3153,Colored Grounds
3154,Old grave yard
3155,Colored Grounds
3156,Colored Grounds
3157,Blank
3158,Strangers Grounds
3159,Lot 374
3160,Lot 442
3161,Colored Grounds
3162,Colored Grounds
3163,
3164,Lot 376
3165,Strangers Grounds
3166,Lot 221
3167,Colored Grounds
3168,Colored Grounds
3169,Lot 446
3170,Lot 140
3171,Strangers Grounds
3172,
3173,Colored Grounds
3174,Strangers Grounds
3175,Lot 439
3176,Lot 25
3177,Lot 300
3178,Lot 25
3179,
3180,Lot 404
3181,Colored Grounds
3182,
3183,Lot 173
3184,Old grave yard
3185,Lot 445
3186,Lot 25
3187,Colored Grounds
3188,Lot 297
3189,Lot 443
3190,Lot 35
3191,Colored Grounds
3192,Lot 439
3193,
3194,Colored Grounds
3195,Colored Grounds
3196,lot 213
3197,lot 345
3198,Colored Grounds
3199,Colored Grounds
3200,Colored Grounds
3201,Strangers Grounds
3202,Colored Grounds
3203,lot 103
3204,Strangers Grounds
3205,Strangers Grounds
3206,lot 411
3207,lot 411
3208,Colored Grounds
3209,Colored Grounds
3210,lot 179
3211,Mexican Grounds
3212,Colored Grounds
3213,Strangers Grounds
3214,Oakwood
3215,lot no 436
3216,Colored Grounds
3217,no 411
3218,Colored Grounds
3219,Strangers Grounds
3220,no 378
3221,Colored Grounds
3222,Colored Grounds
3223,lot 442
3224,lot 87
3225,Colored Grounds
3226,Colored Grounds
3227,lot 431
3228,
3229,lot 179
3230,Colored  ground
3231,Colored Grounds
3232,lot 443
3233,lot 379
3234,lot 444
3235,Colored Grounds
3236,lot 378
3237,lot 444
3238,lot 141
3239,Mexican Grounds
3240,lot 443
3241,lot 411
3242,lot 442
3243,Colored Grounds
3244,Strangers Grounds
3245,lot 411
3246,lot 444
3247,lot 350
3248,lot 442
3249,lot 449
3250,Colored Grounds
3251,lot 454
3252,Colored Grounds
3253,
3254,lot 441
3255,Colored Grounds
3256,Colored Grounds
3257,Lot 266
3258,lot 266
3259,Strangers Grounds
3260,lot 25
3261,Colored Grounds
3262,Strangers Grounds
3263,lot 266
3264,lot 66
3265,Strangers Grounds
3266,Colored Grounds
3267,lot 438
3268,
3269,lot 378
3270,Colored Grounds
3271,lot 454
3272,lot 438
3273,lot 182
3274,Colored Grounds
3275,lot 35
3276,lot 128
3277,Colored Grounds
3278,
3279,Colored Grounds
3280,Colored Grounds
3281,lot 376
3282,lot 447
3283,lot 447
3284,Strangers Grounds
3285,Colored Grounds
3286,lot 396
3287,lot 361
3288,lot 437
3289,Colored Grounds
3290,lot 71
3291,lot 175
3292,Strangers Grounds
3293,lot 447
3294,Old Grounds
3295,lot 76
3296,Colored Grounds
3297,lot 332
3298,
3299,Strangers Grounds
3300,Colored Grounds
3301,lot 442
3302,Colored Grounds
3303,lot 72
3304,
3305,Colored Grounds
3306,Colored Grounds
3307,lot 148
3308,lot 91
3309,Colored Grounds
3310,Strangers Grounds
3311,Colored Grounds
3312,Colored Grounds
3313,lot 184
3314,Colored Grounds
3315,Jewish Cemetery
3316,Colored Grounds
3317,lot 430
3318,lot 293
3319,lot 449
3320,Colored Grounds
3321,Mexican  ground
3322,
3323,Colored Grounds
3324,Colored Grounds
3325,Colored Grounds
3326,Strangers Grounds
3327,lot 386
3328,lot 432
3329,Colored Grounds
3330,Old Grounds
3331,lot 430
3332,lot 156
3333,lot 172
3334,lot 355
3335,Strangers Grounds
3336,Colored Grounds
3337,lot 445
3338,Colored Grounds
3339,Colored Grounds
3340,Colored Grounds
3341,Lot 455
3342,Lot 430
3343,Lot 324
3344,Colored Grounds
3345,Lot 430
3346,Lot 430
3347,Colored Grounds
3348,
3349,Lot 452
3350,Colored Grounds
3351,Strangers Grounds
3352,Colored Grounds
3353,Lot 430
3354,Strangers Grounds
3355,Lot 85
3356,Strangers Grounds
3357,Strangers Grounds
3358,Colored Grounds
3359,Lot 155
3360,Old graveyard
3361,Lot 206
3362,Lot 430
3363,Lot 102
3364,Colored Grounds
3365,Lot 444
3366,Strangers Grounds
3367,Lot 454
3368,Strangers Grounds
3369,Lot 449
3370,Lot 430
3371,
3372,Strangers Grounds
3373,old graveyard
3374,Lot 397
3375,old graveyard
3376,Lot 455
3377,Old Graveyard
3378,Catholic Cemetery
3379,Colored Grounds
3380,Lot 313
3381,Lot 412
3382,Colored Grounds
3383,Blank
3384,Lot 406
3385,
3386,Colored Grounds
3387,Colored Grounds
3388,Lot 412
3389,Lot 430
3390,Colored Grounds
3391,Lot 430
3392,
3393,Lot 113
3394,Colored Grounds
3395,
3396,
3397,Lot 448
3398,Lot 425
3399,Colored Grounds
3400,Colored Grounds
3401,Lot 412
3402,Lot 412
3403,Lot 412
3404,Lot 430
3405,Colored Grounds
3406,Lot 304
3407,
3408,old graveyard
3409,Colored Grounds
3410,Mexican Grounds
3411,Lot 366
3412,Colored Grounds
3413,Colored Grounds
3414,Lot 443
3415,Strangers Grounds
3416,Strangers Grounds
3417,Colored Grounds
3418,Lot 197
3419,Lot 65
3420,Colored Grounds
3421,Lot 340
3422,Lot 65
3423,Lot 410
3424,Lot 79
3425,Lot 113
3426,
3427,
3428,Lot 12
3429,Old graveyard
3430,Old graveyard
3431,Colored Grounds
3432,Colored Grounds
3433,Colored Grounds
3434,
3435,Colored Grounds
3436,Mexican Grounds
3437,Lot 64
3438,Colored Grounds
3439,Strangers Grounds
3440,Strangers Grounds
3441,Lot 430
3442,Strangers Grounds
3443,Colored Grounds
3444,Colored Grounds
3445,Colored Grounds
3446,Lot 385
3447,Lot 378 [?? scribbled]
3448,Lot 438
3449,Lot 247
3450,Strangers Grounds
3451,Lot 206
3452,
3453,Colored Grounds
3454,Lot 442
3455,Lot 456
3456,Colored Grounds
3457,Colored Grounds
3458,Lot 443
3459,Strangers Grounds
3460,Lot 455
3461,
3462,
3463,
3464,Colored Grounds
3465,Colored Grounds
3466,Lot 412
3467,Lot 378
3468,Colored Grounds
3469,Colored Grounds
3470,Colored Grounds
3471,Blank
3472,Colored Grounds
3473,Colored Grounds
3474,
3475,Strangers Grounds
3476,Lot 449
3477,Colored Grounds
3478,Mexican ground [section 4 written in red ink]
3479,Colored Grounds
3480,Colored Grounds
3481,Lot 72
3482,Lot 448
3483,Lot 243
3484,
3485,Strangers Grounds
3486,Lot 307
3487,
3488,Colored Grounds
3489,Lot 451
3490,Lot 148
3491,Lot 141
3492,
3493,Colored Grounds
3494,Colored Grounds
3495,Colored Grounds
3496,
3497,
3498,Lot 66
3499,
3500,Lot 414
3501,Colored Grounds
3502,Colored Grounds
3503,Colored Grounds
3504,
3505,Lot 443
3506,
3507,Lot 410
3508,
3509,Colored Grounds
3510,Strangers Grounds
3511,Lot 350
3512,
3513,Lot ___
3514,Lot 266
3515,Lot 447
3516,"Lot 465, sec 2"
3517,
3518,Colored Grounds
3519,Old graveyard
3520,Old graveyard
3521,Lot 166
3522,Lot 518
3523,Lot 443
3524,Strangers Grounds
3525,Strangers Grounds
3526,Colored Grounds
3527,Colored Grounds
3528,Colored Grounds
3529,Lot 437
3530,Colored Grounds
3531,Colored Grounds
3532,Lot 175
3533,Lot 447
3534,Strangers Grounds
3535,Lot 447
3536,Colored Grounds
3537,Lot 399
3538,Colored Grounds
3539,Lot 183
3540,Lot 349
3541,Strangers Grounds
3542,Strangers Grounds
3543,Lot 447
3544,Colored Grounds
3545,Colored Grounds
3546,Lot 58
3547,Colored Grounds
3548,Old graveyard
3549,Lot new
3550,Old graveyard
3551,Lot 378
3552,Lot 296
3553,Colored Grounds
3554,Lot new
3555,Colored Grounds
3556,Blank
3557,Strangers Grounds
3558,Colored Grounds
3559,Colored Grounds
3560,Colored Grounds
3561,Strangers Grounds
3562,Lot new
3563,
3564,Strangers Grounds
3565,Colored Grounds
3566,Strangers Grounds
3567,Strangers Grounds
3568,Colored Grounds
3569,Lot 506
3570,Colored Grounds
3571,Lot 498
3572,Colored Grounds
3573,Colored Grounds
3574,Lot 526
3575,Old graveyard
3576,Strangers Grounds
3577,Lot 382
3578,Lot 76
3579,
3580,Lot 440
3581,Colored Grounds
3582,Old graveyard
3583,Strangers Grounds
3584,Lot 275
3585,Lot 398
3586,Strangers Grounds
3587,lot 165
3588,Strangers Grounds
3589,
3590,lot 425
3591,lot 349
3592,Strangers Grounds
3593,Colored Grounds
3594,lot 449
3595,
3596,Colored Grounds
3597,
3598,lot 79
3599,Colored Grounds
3600,Strangers Grounds
3601,lot 515
3602,no lot number
3603,no lot number
3604,Strangers Grounds
3605,Colored Grounds
3606,lot 408
3607,Strangers Grounds
3608,
3609,Colored Grounds
3610,no lot given
3611,Old Grounds
3612,Colored Grounds
3613,Old Grounds
3614,Old Grounds
3615,Mexican Grounds
3616,Mexican Grounds
3617,Strangers Grounds
3618,lot 394
3619,Strangers Grounds
3620,Strangers Grounds
3621,lot 422
3622,Colored Grounds
3623,Colored Grounds
3624,lot 5
3625,Colored Grounds
3626,Strangers Grounds
3627,lot 466
3628,Colored Grounds
3629,Colored Grounds
3630,Colored Grounds
3631,Colored Grounds
3632,Colored Grounds
3633,Strangers Grounds
3634,Strangers Grounds
3635,Strangers Grounds
3636,Colored Grounds
3637,
3638,lot 5
3639,Colored Grounds
3640,Strangers Grounds
3641,lot 509
3642,Colored Grounds
3643,lot 5
3644,Colored Grounds
3645,lot 141
3646,Colored Grounds
3647,Lot 450
3648,Colored Grounds
3649,Lot 509
3650,Colored Grounds
3651,Colored ground  ??
3652,Strangers Grounds
3653,
3654,Strangers Grounds
3655,Lot 449
3656,Colored Grounds
3657,Lot 509
3658,Colored Grounds
3659,Colored Grounds
3660,Mexican Grounds
3661,Strangers Grounds
3662,Colored Grounds
3663,Lot 449
3664,Colored Grounds
3665,Strangers Grounds
3666,Lot 511
3667,Strangers Grounds
3668,Colored Grounds
3669,Old graveyard
3670,Colored Grounds
3671,Old graveyard
3672,Lot 514
3673,Colored Grounds
3674,Lot 465
3675,Lot 508
3676,Strangers Grounds
3677,Strangers Grounds
3678,Strangers Grounds
3679,Lot 365
3680,Strangers Grounds
3681,Colored Grounds
3682,
3683,Old graveyard
3684,Lot 512
3685,Colored Grounds
3686,Jewish ground
3687,Strangers Grounds
3688,Colored Grounds
3689,Lot 496
3690,Lot 357
3691,Colored Grounds
3692,Colored Grounds
3693,Lot 287
3694,Strangers Grounds
3695,Lot 271
3696,Lot 27
3697,Lot 338
3698,Lot 106
3699,Old graveyard
3700,Lot 154
3701,Lot 333
3702,Lot 402
3703,Lot 526
3704,Lot 512
3705,Mexican Grounds
3706,Lot 120
3707,Strangers Grounds
3708,Strangers Grounds
3709,Colored Grounds
3710,
3711,Lot _____
3712,Strangers Grounds
3713,Colored Grounds
3714,Colored Grounds
3715,Colored Grounds
3716,Mexican Grounds
3717,Mexican Grounds
3718,Lot 526
3719,Lot 505
3720,Lot 526
3721,Lot 102
3722,Lot 452
3723,Colored Grounds
3724,Old Grounds
3725,Strangers Grounds
3726,Lot 29
3727,Old graveyard
3728,
3729,Lot 213
3730,Mexican Grounds
3731,Colored Grounds
3732,
3733,Lot 312
3734,Colored Grounds
3735,Lot 505
3736,Colored Grounds
3737,Colored Grounds
3738,
3739,Colored Grounds
3740,Colored Grounds
3741,Colored Grounds
3742,Colored Grounds
3743,
3744,Strangers Grounds
3745,
3746,
3747,Lot 505
3748,Old graveyard
3749,Colored Grounds
3750,Lot 503
3751,Lot 512
3752,Lot 184
3753,
3754,Colored Grounds
3755,lot 213
3756,
3757,lot 180
3758,Strangers Grounds
3759,Colored Grounds
3760,lot 245
3761,old graveyard
3762,Strangers Grounds
3763,Mexican Grounds
3764,Strangers Grounds
3765,Colored Grounds
3766,
3767,Colored Grounds
3768,Colored Grounds
3769,lot 382
3770,lot 325
3771,Strangers Grounds
3772,lot 7
3773,lot 5
3774,Colored Grounds
3775,
3776,lot 215
3777,
3778,lot 506
3779,Colored Grounds
3780,lot 5
3781,lot 5
3782,Mexican Grounds
3783,Old Grounds
3784,Strangers Grounds
3785,
3786,Strangers Grounds
3787,
3788,
3789,
3790,Colored Grounds
3791,Colored Grounds
3792,Strangers Grounds
3793,lot 10
3794,lot 336
3795,Colored Grounds
3796,lot 513
3797,
3798,lot 515
3799,Mexican Grounds
3800,Colored Grounds
3801,lot 507
3802,Lot 393
3803,lot 518
3804,Colored Grounds
3805,lot 482
3806,
3807,State graveyard
3808,Colored Grounds
3809,
3810,lot 31
3811,lot 5
3812,lot 447
3813,Colored Grounds
3814,
3815,Colored Grounds
3816,lot 296
3817,Colored Grounds
3818,Colored Grounds
3819,lot 502
3820,lot 447
3821,Catholic ground
3822,lot 449
3823,
3824,lot 203
3825,Catholic ground
3826,lot 128
3827,Strangers Grounds
3828,catholic ground
3829,Strangers Grounds
3830,lot 490
3831,lot 313
3832,lot 143
3833,lot 397
3834,Colored Grounds
3835,lot 359
3836,Colored Grounds
3837,lot old graveyard
3838,catholic ground
3839,lot 519
3840,Strangers Grounds
3841,lot 499
3842,Colored Grounds
3843,Colored Grounds
3844,lot 504
3845,lot 522
3846,lot 447
3847,lot 261
3848,old graveyard
3849,Colored Grounds
3850,Colored Grounds
3851,Strangers Grounds
3852,Strangers Grounds
3853,old graveyard
3854,lot 499
3855,
3856,lot 491
3857,Colored Grounds
3858,Colored Grounds
3859,Colored Grounds
3860,Colored Grounds
3861,Colored Grounds
3862,Strangers Grounds
3863,Strangers Grounds
3864,lot 507
3865,lot 504
3866,Colored Grounds
3867,lot 316
3868,Colored Grounds
3869,lot 504
3870,lot 319
3871,Colored Grounds
3872,lot 286
3873,old graveyard
3874,
3875,lot 429
3876,lot 393
3877,Cavalaria Cemetery
3878,lot 491
3879,Colored Grounds
3880,lot 403
3881,lot 353
3882,Colored Grounds
3883,Colored Grounds
3884,Colored Grounds
3885,
3886,Strangers Grounds
3887,Colored Grounds
3888,Colored Grounds
3889,lot 331
3890,lot 5
3891,lot 368
3892,lot 5
3893,Colored Grounds
3894,lot 365
3895,lot 5
3896,
3897,Catholic ground
3898,Colored Grounds
3899,Colored Grounds
3900,lot 505
3901,lot 474
3902,Lot 5
3903,Catholic ground
3904,Lot 151
3905,Colored Grounds
3906,Colored Grounds
3907,Strangers Grounds
3908,Strangers Grounds
3909,Lot 511
3910,Old graveyard
3911,
3912,Lot 450
3913,Colored Grounds
3914,Mexican Grounds
3915,Lot 348
3916,
3917,Colored Grounds
3918,Lot 348
3919,Colored Grounds
3920,Catholic ground
3921,Strangers Grounds
3922,Colored Grounds
3923,Catholic ground
3924,Lot 10
3925,Colored Grounds
3926,Lot 522
3927,Colored Grounds
3928,Lot 322
3929,Colored Grounds
3930,Colored Grounds
3931,Lot 113
3932,Lot 348
3933,
3934,Lot 445
3935,Lot 499
3936,Colored Grounds
3937,Colored Grounds
3938,Lot 182
3939,Colored Grounds
3940,Lot 398
3941,Colored Grounds
3942,Old Grounds
3943,Colored Grounds
3944,
3945,Colored Grounds
3946,Colored Grounds
3947,Old Grounds
3948,Old Grounds
3949,Catholic ground
3950,Strangers Grounds
3951,Strangers Grounds
3952,Colored Grounds
3953,Lot 146
3954,Mexican Grounds
3955,Catholic ground
3956,
3957,Lot 488
3958,Strangers Grounds
3959,Catholic ground
3960,Lot 499
3961,Jewish Cemetery
3962,Lot 441
3963,Colored Grounds
3964,Lot 499
3965,Colored Grounds
3966,Lot 484
3967,
3968,Lot 524
3969,Colored Grounds
3970,Lot 412
3971,Colored Grounds
3972,Strangers Grounds
3973,Lot 488
3974,Mexican Grounds
3975,Colored Grounds
3976,Colored Grounds
3977,lot 499
3978,Strangers Grounds
3979,Colored Grounds
3980,lot 117
3981,Strangers Grounds
3982,Strangers Grounds
3983,Colored Grounds
3984,lot 435
3985,lot 503
3986,lot 438
3987,Strangers Grounds
3988,Strangers Grounds
3989,Strangers Grounds
3990,Strangers Grounds
3991,lot 348
3992,Strangers Grounds
3993,Colored Grounds
3994,lot 504
3995,lot 409
3996,lot 188
3997,lot 187
3998,Colored Grounds
3999,Old Grounds
4000,Colored Grounds
4001,lot 508
4002,lot 444
4003,lot 432
4004,Colored Grounds
4005,lot 106
4006,lot 102
4007,Colored Grounds
4008,lot 484
4009,lot 438
4010,lot 378
4011,Strangers Grounds
4012,Strangers Grounds
4013,lot 431
4014,lot 395
4015,lot 168
4016,Colored Grounds
4017,Colored Grounds
4018,Colored Grounds
4019,lot 98
4020,Strangers Grounds
4021,Colored Grounds
4022,Catholic ground
4023,Strangers Grounds
4024,Strangers Grounds
4025,lot 399
4026,
4027,Strangers Grounds
4028,lot 503
4029,Old Grounds
4030,
4031,Colored Grounds
4032,
4033,Colored Grounds
4034,
4035,Colored Grounds
4036,Colored Grounds
4037,Colored Grounds
4038,lot 5
4039,Strangers Grounds
4040,lot 184
4041,Catholic ground
4042,Lot 363
4043,Colored Grounds
4044,lot 188
4045,Catholic ground
4046,Strangers Grounds
4047,Colored Grounds
4048,Strangers Grounds
4049,Strangers Grounds
4050,Catholic ground
4051,Catholic ground
4052,Lot 526
4053,Catholic ground
4054,Colored Grounds
4055,Strangers Grounds
4056,Strangers Grounds
4057,Lot 501
4058,Colored Grounds
4059,Colored Grounds
4060,Strangers Grounds
4061,Lot 447
4062,Lot 486
4063,Colored ground ??
4064,Lot 348
4065,Lot 99
4066,Lot 508
4067,Strangers Grounds
4068,Colored Grounds
4069,Lot 347
4070,Lot 310
4071,Colored Grounds
4072,Colored Grounds
4073,Colored Grounds
