pkoakwood,whereburied
256,"Historic ""Colored Grounds"" 73"
257,"Historic ""Colored Grounds"" 74"
258,old cemetery
259,new cemetery no 262
260,new cemetery
261,"Historic ""Colored Grounds"""
262,"Historic ""Colored Grounds"""
263,new cemetery
264,"Historic ""Colored Grounds"" 77"
265,"Historic ""Colored Grounds"" 78"
266,new cemetery
267,
268,new cemetery
269,new cemetery
270,new cemetery E1/2 block 271
271,"Historic ""Colored Grounds"""
272,"Historic ""Colored Grounds"""
273,old grave yard
274,new cemetery
275,"Historic ""Colored Grounds"""
276,public grounds
277,public grounds
278,"Historic ""Colored Grounds"""
279,
280,"Historic ""Colored Grounds"""
281,new grave yard
282,"Historic ""Colored Grounds"""
283,Strangers Grounds
284,new cemetery
285,new cemetery
286,
287,new cemetery
288,new cemetery
289,new cemetery
290,old cemetery
291,old cemetery
292,"Historic ""Colored Grounds"""
293,"Historic ""Colored Grounds"""
294,"Historic ""Colored Grounds"""
295,
296,Strangers Grounds
297,
298,new grave yard
299,"Historic ""Colored Grounds"""
300,strangers grounds
301,new cemetery
302,new cemetery
303,"Historic ""Colored Grounds"""
304,"Historic ""Colored Grounds"""
305,Strangers Grounds
306,lot no 366
307,new cemetery
308,state cemetery
309,"Historic ""Colored Grounds"""
310,"Historic ""Colored Grounds"""
311,"Historic ""Colored Grounds"""
312,old cemetery
313,old cemetery
314,Strangers Grounds
315,old cemetery
316,
317,old grave yard
318,Strangers Grounds
319,
320,new grave yard
321,new grave yard
322,"Historic ""Colored Grounds"""
323,new grave yard
324,old grave yard
325,old grave yard
326,"Historic ""Colored Grounds"""
327,"Historic ""Colored Grounds"""
328,"Historic ""Colored Grounds"""
329,new grave yard
330,new grave yard
331,"Historic ""Colored Grounds"" 28"
332,old grave yard
333,"Historic ""Colored Grounds"" 29"
334,old grave yard
335,Strangers Grounds
336,
337,Strangers Grounds
338,Strangers Grounds
339,old cemetery
340,new cemetery
341,old cemetery
342,new cemetery
343,old grave yard
344,old grave yard
345,"Historic ""Colored Grounds"""
346,
347,strangers grounds
348,"Historic ""Colored Grounds"""
349,strangers grounds
350,strangers grounds
351,old grave yard
352,new cemetery
353,strangers grounds
354,old grave yard
355,
356,"Historic ""Colored Grounds"" 33"
357,"Historic ""Colored Grounds"" 34"
358,"Historic ""Colored Grounds"" 35"
359,old grave yard
360,"Historic ""Colored Grounds"" 36"
361,old grave yard
362,new cemetery
363,new cemetery
364,"Historic ""Colored Grounds"" 37"
365,old grave yard
366,strangers grounds
367,"Historic ""Colored Grounds"" 38"
368,new Jewish cemetery
369,
370,
371,"Historic ""Colored Grounds"" 41"
372,"Historic ""Colored Grounds"" 42"
373,Strangers Grounds
374,new grave yard
375,"Historic ""Colored Grounds"" 43"
376,
377,new cemetery
378,
379,"Historic ""Colored Grounds"""
380,"Historic ""Colored Grounds"""
381,Strangers grounds
382,strangers grounds
383,new grave yard
384,"Historic ""Colored Grounds"""
385,new cemetery
386,strangers grounds
387,"Historic ""Colored Grounds"""
388,new cemetery
389,old cemetery
390,new cemetery
391,new cemetery
392,"Historic ""Colored Grounds"""
393,new cemetery
394,new cemetery
395,new cemetery
396,strangers grounds
397,old cemetery
398,new grave yard
399,new cemetery
400,new cemetery
401,"Historic ""Colored Grounds"""
402,"Historic ""Colored Grounds"""
403,old grave yard
404,"Historic ""Colored Grounds"""
405,
406,"Historic ""Colored Grounds"""
407,"Historic ""Colored Grounds"""
408,
409,"Historic ""Colored Grounds"""
410,"Historic ""Colored Grounds"""
411,"Historic ""Colored Grounds"""
412,"Historic ""Colored Grounds"""
413,city cemetery
414,"Historic ""Colored Grounds"""
415,"Historic ""Colored Grounds"""
416,new cemetery
417,lot 307
418,new cemetery
419,"new cemetery, single grave"
420,new cemetery
421,"Historic ""Colored Grounds"""
422,"Historic ""Colored Grounds"""
423,new grave yard
424,new cemetery
425,new cemetery
426,"Historic ""Colored Grounds"""
427,
429,old grave yard
430,John M. Swisher's lot
431,"Historic ""Colored Grounds"""
432,new grave yard
433,new cemetery
434,"Historic ""Colored Grounds"""
435,"Historic ""Colored Grounds"""
436,new cemetery grounds
437,Strangers grounds
438,East 1/2 lot 276
439,new cemetery
440,old cemetery
441,
442,new cemetery no 309
443,new cemetery
444,new cemetery
445,"Historic ""Colored Grounds"""
446,"Historic ""Colored Grounds"""
447,"Historic ""Colored Grounds"""
448,old grave yard
449,"Historic ""Colored Grounds"""
450,"Historic ""Colored Grounds"""
451,"Historic ""Colored Grounds"""
452,new cemetery no 330
453,
454,"Historic ""Colored Grounds"""
455,"Historic ""Colored Grounds"""
456,"Historic ""Colored Grounds"""
457,"Historic ""Colored Grounds"""
458,new cemetery
459,new cemetery
460,"Historic ""Colored Grounds"" 35"
461,new cemetery
462,buried in A. Eanes lot no 1
463,buried in A. Eanes lot no 2
464,"Historic ""Colored Grounds"""
465,old cemetery
466,old cemetery
467,strangers grounds
468,strangers grounds
469,strangers grounds
470,"Historic ""Colored Grounds"""
471,new cemetery
472,new cemetery 1/2 lot of A. Eanes
473,Jewish Cemetery
474,Old Grounds
475,Old Grounds
476,brought to the Jewish burial grounds for interment
477,new cemetery
478,new cemetery
479,"Historic ""Colored Grounds"""
480,old grave yard
481,new cemetery
482,
483,"Historic ""Colored Grounds"" 41"
484,new cemetery east 1/2 lot 262
485,
486,new grave yard
487,"Historic ""Colored Grounds"" 43"
488,
489,"Historic ""Colored Grounds"""
490,old cemetery
491,old cemetery
492,new cemetery
493,new cemetery
494,new cemetery
495,"Historic ""Colored Grounds"""
496,"Historic ""Colored Grounds"""
497,"Historic ""Colored Grounds"""
498,
499,new cemetery
500,new cemetery
501,
502,old grave yard
503,"Historic ""Colored Grounds"""
504,"Historic ""Colored Grounds"""
505,old grave yard
506,Strangers Grounds
507,
508,new cemetery
509,new cemetery
510,new cemetery
511,new cemetery
512,negro grave yard
513,
514,"Historic ""Colored Grounds"" 53"
515,old cemetery
516,
517,"Historic ""Colored Grounds"" 54"
518,strangers grounds
519,"Historic ""Colored Grounds"" 55"
520,new grave yard
521,new cemetery
522,"Historic ""Colored Grounds"" 56"
523,old grave yard on A. Eanes' lot
524,old grave yard
525,new cemetery
526,"Historic ""Colored Grounds"" 57"
527,new grave yard
528,new grave yard
529,Strangers Grounds
530,"Historic ""Colored Grounds"""
531,new cemetery
532,"Historic ""Colored Grounds"""
533,
534,
535,old grave yard
536,"Historic ""Colored Grounds"""
537,"Historic ""Colored Grounds"" 60"
538,"Historic ""Colored Grounds"" 61"
539,"Historic ""Colored Grounds"" 62"
540,new cemetery
541,new cemetery
542,new cemetery
543,"Historic ""Colored Grounds"" 63"
544,new cemetery
545,new cemetery
546,strangers grounds
547,"Historic ""Colored Grounds"" 64"
548,new cemetery
549,new cemetery
550,"Historic ""Colored Grounds"" 65"
551,"Historic ""Colored Grounds"" 66"
552,new cemetery
553,"Historic ""Colored Grounds"" 67"
554,"Historic ""Colored Grounds"" 68"
555,strangers grounds
556,"Historic ""Colored Grounds"" 69"
557,new cemetery
558,"Historic ""Colored Grounds"" 70"
559,"Historic ""Colored Grounds"" 71"
560,"Historic ""Colored Grounds"" 72"
561,"Historic ""Colored Grounds"" 73"
562,old grave yard
563,new cemetery
564,old cemetery
565,"Historic ""Colored Grounds"" 74"
566,new cemetery
567,
568,new cemetery A. Eanes lot
569,new cemetery
570,"Historic ""Colored Grounds"" 75"
571,strangers grounds
572,
573,single grave on A. Eanes lot
574,new cemetery
575,new cemetery
576,"Historic ""Colored Grounds"" 77"
577,new cemetery
578,new cemetery A. Eanes lot
579,
580,
581,"new cemetery, single grave"
582,"Historic ""Colored Grounds"" 2"
583,"Historic ""Colored Grounds"" 3"
584,"Historic ""Colored Grounds"" 4"
585,
586,"Historic ""Colored Grounds"" 5"
587,"Historic ""Colored Grounds"" 6"
588,new cemetery
589,strangers grounds
590,new cemetery
591,
592,new cemetery
593,old grave yard
594,colored grave yard 8
595,new cemetery
596,new cemetery
597,colored cemetery 9
598,new cemetery
599,
600,"A. Eanes lot, single grave"
601,"A. Eanes lot, single grave"
602,"Historic ""Colored Grounds"" 11"
603,"Historic ""Colored Grounds"" 12"
604,"Historic ""Colored Grounds"" 13"
605,"Historic ""Colored Grounds"" 14"
606,new cemetery
607,
608,
609,
610,"new cemetery A. Eanes lot, single grave"
611,"new cemetery A. Eanes lot, single grave"
612,strangers grounds
613,strangers grounds
614,old grave yard
615,"Historic ""Colored Grounds"" 17"
616,new cemetery family ground
617,Dr. W. A. Morris' lot
618,new cemetery
619,colored grave yard 18
620,strangers grounds
621,new cemetery
622,new grave yard
623,"Historic ""Colored Grounds"" 19"
624,
625,new cemetery
626,new grave yard
627,"Historic ""Colored Grounds"" 20"
628,new cemetery
629,strangers grounds
630,
631,"Historic ""Colored Grounds"" 21"
632,"Historic ""Colored Grounds"" 22"
633,new cemetery
634,new cemetery
635,Strangers Grounds
636,"new cemetery, single grave"
637,"Historic ""Colored Grounds"" 23"
638,new cemetery
639,
640,
641,new cemetery
642,new cemetery
643,strangers grounds
644,new cemetery
645,"Historic ""Colored Grounds"" 24"
646,new cemetery
647,"Historic ""Colored Grounds"" 25"
648,
649,New cemetery lot 267
650,New cemetery
651,New cemetery
652,"Historic ""Colored Grounds"" 27"
653,"Historic ""Colored Grounds"" 28"
654,"Historic ""Colored Grounds"" 29"
655,New cemetery
656,
657,New cemetery
658,
659,Strangers grounds
660,"Historic ""Colored Grounds"" 30"
661,Strangers grounds
662,"Historic ""Colored Grounds"" 31"
663,
664,"Historic ""Colored Grounds"" 33"
665,
666,"Historic ""Colored Grounds"" 35"
667,"Historic ""Colored Grounds"" 36"
668,
669,Strangers Grounds
670,"Historic ""Colored Grounds"" 37"
671,Strangers grounds
672,"Historic ""Colored Grounds"" 38"
673,New cemetery
674,New cemetery
675,Strangers grounds
676,"Historic ""Colored Grounds"" 39"
677,"Historic ""Colored Grounds"" 40"
678,"New grave yard, single grave"
679,"New grave yard, single grave"
680,"A. Eanes' lot, single grave No 3"
681,Old grave yard
682,"Historic ""Colored Grounds"" 41"
683,"Historic ""Colored Grounds"" 42"
684,"Historic ""Colored Grounds"" 43"
685,New grave yard
686,Strangers grounds
687,New cemetery
688,New cemetery
689,New cemetery
690,Old grave yard
691,Old grave yard
692,New grave yard
693,"Historic ""Colored Grounds"" 44"
694,"Historic ""Colored Grounds"" 45"
695,
696,old grave yard
697,
698,
699,
700,new cemetery
701,new cemetery
702,"Historic ""Colored Grounds"" 49"
703,"Historic ""Colored Grounds"" 50"
704,strangers grounds
705,"new cemetery, A Eanes lot single grave"
706,"new cemetery, A Eanes lot single grave"
707,new cemetery
708,new cemetery
709,strangers grounds
710,new cemetery A. Eanes lot
